classification_system,code,code_clean,description
icd-09-mc,733.81,73381,Malunion of fracture
icd-09-mc,733.82,73382,Nonunion of fracture
icd-09-mc,V54.13,V5413,Aftercare for healing traumatic fracture of hip
icd-09-mc,V54.15,V5414,Aftercare for healing traumatic fracture of upper leg
icd-09-mc,905.3,9053,Late effect of fracture of neck of femur
icd-09-mc,820.00,82000,"Closed fracture of intracapsular section of neck of femur, unspecified"
icd-09-mc,820.01,82001,Closed fracture of epiphysis (separation) (upper) of neck of femur
icd-09-mc,820.02,82002,Closed fracture of midcervical section of neck of femur
icd-09-mc,820.03,82003,Closed fracture of base of neck of femur
icd-09-mc,820.09,82009,Other closed transcervical fracture of neck of femur
icd-09-mc,820.10,82010,"Open fracture of intracapsular section of neck of femur, unspecified"
icd-09-mc,820.11,82011,Open fracture of epiphysis (separation) (upper) of neck of femur
icd-09-mc,820.12,82012,Open fracture of midcervical section of neck of femur
icd-09-mc,820.13,82013,Open fracture of base of neck of femur
icd-09-mc,820.19,82019,Other open transcervical fracture of neck of femur
icd-09-mc,820.20,82020,Closed fracture of trochanteric section of neck of femur
icd-09-mc,820.21,82021,Closed fracture of intertrochanteric section of neck of femur
icd-09-mc,820.22,82022,Closed fracture of subtrochanteric section of neck of femur
icd-09-mc,820.30,82030,"Open fracture of trochanteric section of neck of femur, unspecified"
icd-09-mc,820.31,82031,Open fracture of intertrochanteric section of neck of femur
icd-09-mc,820.32,82032,Open fracture of subtrochanteric section of neck of femur
icd-09-mc,820.8,8208,Closed fracture of unspecified part of neck of femur
icd-09-mc,820.9,8209,Open fracture of unspecified part of neck of femur
icd-10-mc,S72.001A,S72001A,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
icd-10-mc,S72.001B,S72001B,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.001C,S72001C,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.001D,S72001D,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.001E,S72001E,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.001F,S72001F,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.001G,S72001G,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.001H,S72001H,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.001J,S72001J,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.001K,S72001K,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.001M,S72001M,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.001N,S72001N,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.001P,S72001P,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.001Q,S72001Q,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.001R,S72001R,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.001S,S72001S,"Fracture of unspecified part of neck of right femur, sequela"
icd-10-mc,S72.002A,S72002A,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture"
icd-10-mc,S72.002B,S72002B,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.002C,S72002C,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.002D,S72002D,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.002E,S72002E,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.002F,S72002F,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.002G,S72002G,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.002H,S72002H,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.002J,S72002J,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.002K,S72002K,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.002M,S72002M,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.002N,S72002N,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
