classification_system,code,code_clean,description,source
icd-09-mc,353.6,3536,Phantom limb (syndrome),
icd-09-mc,905.9,9059,Late effect of traumatic amputation,
icd-09-mc,997.60,99760,Unspecified complication of amputation stump,
icd-09-mc,997.61,99761,Neuroma of amputation stump,
icd-09-mc,997.62,99762,Infection (chronic) of amputation stump,
icd-09-mc,997.69,99769,Other amputation stump complication,
icd-09-mc,V49.70,V4970,Unspecified level lower limb amputation status,
icd-09-mc,V49.71,V4971,Great toe amputation status,
icd-09-mc,V49.72,V4972,Other toe(s) amputation status,
icd-09-mc,V49.73,V4973,Foot amputation status,
icd-09-mc,V49.74,V4974,Ankle amputation status,
icd-09-mc,V49.75,V4975,Below knee amputation status,
icd-09-mc,V49.76,V4976,Above knee amputation status,
icd-09-mc,V49.77,V4977,Hip amputation status,
icd-09-mc,V52.1,V521,Fitting and adjustment of artificial leg (complete) (partial),
icd-10-mc,G54.6,G546,Phantom limb syndrome with pain,
icd-10-mc,G54.7,G547,Phantom limb syndrome without pain,
icd-10-mc,S48.919S,S48919S,"Complete traumatic amputation of unspecified shoulder and upper arm, level unspecified, sequela",
icd-10-mc,S48.922S,S48922S,"Partial traumatic amputation of left shoulder and upper arm, level unspecified, sequela",
icd-10-mc,S68.419S,S68419S,"Complete traumatic amputation of unspecified hand at wrist level, sequela",
icd-10-mc,S78.019S,S78019S,"Complete traumatic amputation at unspecified hip joint, sequela",
icd-10-mc,S88.919S,S88919S,"Complete traumatic amputation of unspecified lower leg, level unspecified, sequela",
icd-10-mc,T87.30,T8730,"Neuroma of amputation stump, unspecified extremity",
icd-10-mc,T87.40,T8740,"Infection of amputation stump, unspecified extremity",
icd-10-mc,T87.89,T8789,Other complications of amputation stump,
icd-10-mc,T87.9,T879,Unspecified complications of amputation stump,
icd-10-mc,Z44.109,Z44109,"Encounter for fitting and adjustment of unspecified artificial leg, unspecified leg",
icd-10-mc,Z89.419,Z89419,Acquired absence of unspecified great toe,
icd-10-mc,Z89.429,Z89429,"Acquired absence of other toe(s), unspecified side",
icd-10-mc,Z89.439,Z89439,Acquired absence of unspecified foot,
icd-10-mc,Z89.449,Z89449,Acquired absence of unspecified ankle,
icd-10-mc,Z89.519,Z89519,Acquired absence of unspecified leg below knee,
icd-10-mc,Z89.619,Z89619,Acquired absence of unspecified leg above knee,
icd-10-mc,Z89.629,Z89629,Acquired absence of unspecified hip joint,
icd-10-mc,Z89.9,Z899,"Acquired absence of limb, unspecified",
