classification_system,code,code_clean,description,source
icd-09-mc,094.87,9487,Syphilitic ruptured cerebral aneurysm,
icd-09-mc,342.00,34200,Flaccid hemiplegia and hemiparesis affecting unspecified side,
icd-09-mc,342.01,34201,Flaccid hemiplegia and hemiparesis affecting dominant side,
icd-09-mc,342.02,34202,Flaccid hemiplegia and hemiparesis affecting nondominant side,
icd-09-mc,342.10,34210,Spastic hemiplegia and hemiparesis affecting unspecified side,
icd-09-mc,342.11,34211,Spastic hemiplegia and hemiparesis affecting dominant side,
icd-09-mc,342.12,34212,Spastic hemiplegia and hemiparesis affecting nondominant side,
icd-09-mc,342.80,34280,Other specified hemiplegia and hemiparesis affecting unspecified side,
icd-09-mc,342.81,34281,Other specified hemiplegia and hemiparesis affecting dominant side,
icd-09-mc,342.82,34282,Other specified hemiplegia and hemiparesis affecting nondominant side,
icd-09-mc,342.90,34290,"Hemiplegia, unspecified, affecting unspecified side",
icd-09-mc,342.91,34291,"Hemiplegia, unspecified, affecting dominant side",
icd-09-mc,342.92,34292,"Hemiplegia, unspecified, affecting nondominant side",
icd-09-mc,343.1,3431,Congenital hemiplegia,
icd-09-mc,343.4,3434,Infantile hemiplegia,
icd-09-mc,344.2,3442,Diplegia of upper limbs,
icd-09-mc,344.30,34430,Monoplegia of lower limb affecting unspecified side,
icd-09-mc,344.31,34431,Monoplegia of lower limb affecting dominant side,
icd-09-mc,344.32,34432,Monoplegia of lower limb affecting nondominant side,
icd-09-mc,344.40,34440,Monoplegia of upper limb affecting unspecified side,
icd-09-mc,344.41,34441,Monoplegia of upper limb affecting dominant side,
icd-09-mc,344.42,34442,Monoplegia of upper limb affecting nondominant sde,
icd-09-mc,344.5,3445,Unspecified monoplegia,
icd-09-mc,344.81,34481,Locked-in state,
icd-09-mc,344.89,34489,Other specified paralytic syndrome,
icd-09-mc,344.9,3449,"Paralysis, unspecified",
icd-09-mc,430,430,Subarachnoid hemorrhage,
icd-09-mc,431,431,Intracerebral hemorrhage,
icd-09-mc,432.0,4320,Nontraumatic extradural hemorrhage,
icd-09-mc,432.1,4321,Subdural hemorrhage,
icd-09-mc,432.9,4329,Unspecified intracranial hemorrhage,
icd-09-mc,433.01,43301,Occlusion and stenosis of basilar artery with cerebral infarction,
icd-09-mc,433.11,43311,Occlusion and stenosis of carotid artery with cerebral infarction,
icd-09-mc,433.21,43321,Occlusion and stenosis of vertebral artery with cerebral infarction,
icd-09-mc,433.31,43331,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,
icd-09-mc,433.81,43381,Occlusion and stenosis of other specified precerebral artery with cerebral infarction,
icd-09-mc,433.91,43391,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction,
icd-09-mc,434.01,43401,Cerebral thrombosis with cerebral infarction,
icd-09-mc,434.11,43411,Cerebral embolism with cerebral infarction,
icd-09-mc,434.91,43491,"Cerebral artery occlusion, unspecified with cerebral infarction",
icd-09-mc,436,436,"Acute, but ill-defined, cerebrovascular disease",
icd-09-mc,438.20,43820,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",
icd-09-mc,438.21,43821,"Late effects of cerebrovascular disease, hemiplegia affecting dominant side",
icd-09-mc,438.22,43822,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side",
icd-09-mc,438.30,43830,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side",
icd-09-mc,438.31,43831,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side",
icd-09-mc,438.32,43832,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting nondominant side",
icd-09-mc,438.40,43840,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting unspecified side",
icd-09-mc,438.41,43841,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting dominant side",
icd-09-mc,438.42,43842,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting nondominant side",
icd-09-mc,438.50,43850,"Late effects of cerebrovascular disease, other paralytic syndrome affecting unspecified side",
icd-09-mc,438.51,43851,"Late effects of cerebrovascular disease, other paralytic syndrome affecting dominant side",
icd-09-mc,438.52,43852,"Late effects of cerebrovascular disease, other paralytic syndrome affecting nondominant side",
icd-09-mc,438.53,43853,"Late effects of cerebrovascular disease, other paralytic syndrome, bilateral",
icd-09-mc,997.02,99702,Iatrogenic cerebrovascular infarction or hemorrhage,
icd-10-mc,A52.19,A5219,Other symptomatic neurosyphilis,
icd-10-mc,G80.2,G802,Spastic hemiplegic cerebral palsy,
icd-10-mc,G81.00,G8100,Flaccid hemiplegia affecting unspecified side,
icd-10-mc,G81.01,G8101,Flaccid hemiplegia affecting right dominant side,
icd-10-mc,G81.02,G8102,Flaccid hemiplegia affecting left dominant side,
icd-10-mc,G81.03,G8103,Flaccid hemiplegia affecting right nondominant side,
icd-10-mc,G81.04,G8104,Flaccid hemiplegia affecting left nondominant side,
icd-10-mc,G81.10,G8110,Spastic hemiplegia affecting unspecified side,
icd-10-mc,G81.11,G8111,Spastic hemiplegia affecting right dominant side,
icd-10-mc,G81.12,G8112,Spastic hemiplegia affecting left dominant side,
icd-10-mc,G81.13,G8113,Spastic hemiplegia affecting right nondominant side,
icd-10-mc,G81.14,G8114,Spastic hemiplegia affecting left nondominant side,
icd-10-mc,G81.90,G8190,"Hemiplegia, unspecified affecting unspecified side",
icd-10-mc,G81.91,G8191,"Hemiplegia, unspecified affecting right dominant side",
icd-10-mc,G81.92,G8192,"Hemiplegia, unspecified affecting left dominant side",
icd-10-mc,G81.93,G8193,"Hemiplegia, unspecified affecting right nondominant side",
icd-10-mc,G81.94,G8194,"Hemiplegia, unspecified affecting left nondominant side",
icd-10-mc,G83.0,G830,Diplegia of upper limbs,
icd-10-mc,G83.10,G8310,Monoplegia of lower limb affecting unspecified side,
icd-10-mc,G83.11,G8311,Monoplegia of lower limb affecting right dominant side,
icd-10-mc,G83.12,G8312,Monoplegia of lower limb affecting left dominant side,
icd-10-mc,G83.13,G8313,Monoplegia of lower limb affecting right nondominant side,
icd-10-mc,G83.14,G8314,Monoplegia of lower limb affecting left nondominant side,
icd-10-mc,G83.20,G8320,Monoplegia of upper limb affecting unspecified side,
icd-10-mc,G83.21,G8321,Monoplegia of upper limb affecting right dominant side,
icd-10-mc,G83.22,G8322,Monoplegia of upper limb affecting left dominant side,
icd-10-mc,G83.23,G8323,Monoplegia of upper limb affecting right nondominant side,
icd-10-mc,G83.24,G8324,Monoplegia of upper limb affecting left nondominant side,
icd-10-mc,G83.30,G8330,"Monoplegia, unspecified affecting unspecified side",
icd-10-mc,G83.31,G8331,"Monoplegia, unspecified affecting right dominant side",
icd-10-mc,G83.32,G8332,"Monoplegia, unspecified affecting left dominant side",
icd-10-mc,G83.33,G8333,"Monoplegia, unspecified affecting right nondominant side",
icd-10-mc,G83.34,G8334,"Monoplegia, unspecified affecting left nondominant side",
icd-10-mc,G83.5,G835,Locked-in state,
icd-10-mc,G83.81,G8381,Brown-Sequard syndrome,
icd-10-mc,G83.82,G8382,Anterior cord syndrome,
icd-10-mc,G83.83,G8383,Posterior cord syndrome,
icd-10-mc,G83.84,G8384,Todd's paralysis (postepileptic),
icd-10-mc,G83.89,G8389,Other specified paralytic syndromes,
icd-10-mc,G83.9,G839,"Paralytic syndrome, unspecified",
icd-10-mc,I60.00,I6000,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation,
icd-10-mc,I60.01,I6001,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,
icd-10-mc,I60.02,I6002,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,
icd-10-mc,I60.10,I6010,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,
icd-10-mc,I60.11,I6011,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,
icd-10-mc,I60.12,I6012,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,
icd-10-mc,I60.2,I602,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,
icd-10-mc,I60.30,I6030,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery,
icd-10-mc,I60.31,I6031,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,
