classification_system,code,code_clean,description,source
icd-09-mc,398.91,39891,Rheumatic heart failure (congestive),
icd-09-mc,402.01,40201,Malignant hypertensive heart disease with heart failure,
icd-09-mc,402.11,40211,Benign hypertensive heart disease with heart failure,
icd-09-mc,402.91,40291,Unspecified hypertensive heart disease with heart failure,
icd-09-mc,404.01,40401,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",
icd-09-mc,404.03,40403,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",
icd-09-mc,404.11,40411,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",
icd-09-mc,404.13,40413,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",
icd-09-mc,404.91,40491,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",
icd-09-mc,404.93,40493,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",
icd-09-mc,415.01,40501,Malignant renovascular hypertension,
icd-09-mc,415.09,40509,Other malignant secondary hypertension,
icd-09-mc,416.0,4160,Primary pulmonary hypertension,
icd-09-mc,416.1,4161,Kyphoscoliotic heart disease,
icd-09-mc,416.8,4168,Other chronic pulmonary heart diseases,
icd-09-mc,416.9,4169,"Chronic pulmonary heart disease, unspecified",
icd-09-mc,417.0,4170,Arteriovenous fistula of pulmonary vessels,
icd-09-mc,417.1,4171,Aneurysm of pulmonary artery,
icd-09-mc,417.8,4178,Other specified diseases of pulmonary circulation,
icd-09-mc,417.9,4179,Unspecified disease of pulmonary circulation,
icd-09-mc,425.0,4250,Endomyocardial fibrosis,
icd-09-mc,425.11,42511,Hypertrophic obstructive cardiomyopathy,
icd-09-mc,425.18,42518,Other hypertrophic cardiomyopathy,
icd-09-mc,425.2,4252,Obscure cardiomyopathy of Africa,
icd-09-mc,425.3,4253,Endocardial fibroelastosis,
icd-09-mc,425.4,4254,Other primary cardiomyopathies,
icd-09-mc,425.5,4255,Alcoholic cardiomyopathy,
icd-09-mc,425.7,4257,Nutritional and metabolic cardiomyopathy,
icd-09-mc,425.8,4258,Cardiomyopathy in other diseases classified elsewhere,
icd-09-mc,425.9,4259,"Secondary cardiomyopathy, unspecified",
icd-09-mc,428.0,4280,"Congestive heart failure, unspecified",
icd-09-mc,428.1,4281,Left heart failure,
icd-09-mc,428.20,42820,"Systolic heart failure, unspecified",
icd-09-mc,428.21,42821,Acute systolic heart failure,
icd-09-mc,428.22,42822,Chronic systolic heart failure,
icd-09-mc,428.23,42823,Acute on chronic systolic heart failure,
icd-09-mc,428.30,42830,"Diastolic heart failure, unspecified",
icd-09-mc,428.31,42831,Acute diastolic heart failure,
icd-09-mc,428.32,42832,Chronic diastolic heart failure,
icd-09-mc,428.33,42833,Acute on chronic diastolic heart failure,
icd-09-mc,428.40,42840,"Combined systolic and diastolic heart failure, unspecified",
icd-09-mc,428.41,42841,Acute combined systolic and diastolic heart failure,
icd-09-mc,428.42,42842,Chronic combined systolic and diastolic heart failure,
icd-09-mc,428.43,42843,Acute on chronic combined systolic and diastolic heart failure,
icd-09-mc,428.9,4289,"Heart failure, unspecified",
icd-09-mc,429.0,4290,"Myocarditis, unspecified",
icd-09-mc,429.1,4291,Myocardial degeneration,
icd-09-mc,I09.81,I0981,Rheumatic heart failure,
icd-10-mc,I11.0,I110,Hypertensive heart disease with heart failure,
icd-10-mc,I13.0,I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",
icd-10-mc,I13.2,I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",
icd-10-mc,I27.0,I270,Primary pulmonary hypertension,
icd-10-mc,I27.1,I271,Kyphoscoliotic heart disease,
icd-10-mc,I27.20,I2720,"Pulmonary hypertension, unspecified",
icd-10-mc,I27.21,I2721,Secondary pulmonary arterial hypertension,
icd-10-mc,I27.22,I2722,Pulmonary hypertension due to left heart disease,
icd-10-mc,I27.23,I2723,Pulmonary hypertension due to lung diseases and hypoxia,
icd-10-mc,I27.24,I2724,Chronic thromboembolic pulmonary hypertension,
icd-10-mc,I27.29,I2729,Other secondary pulmonary hypertension,
icd-10-mc,I27.81,I2781,Cor pulmonale (chronic),
icd-10-mc,I27.89,I2789,Other specified pulmonary heart diseases,
icd-10-mc,I27.9,I279,"Pulmonary heart disease, unspecified",
icd-10-mc,I28.0,I280,Arteriovenous fistula of pulmonary vessels,
icd-10-mc,I28.1,I281,Aneurysm of pulmonary artery,
icd-10-mc,I28.8,I288,Other diseases of pulmonary vessels,
icd-10-mc,I28.9,I289,"Disease of pulmonary vessels, unspecified",
icd-10-mc,I42.1,I421,Obstructive hypertrophic cardiomyopathy,
icd-10-mc,I42.2,I422,Other hypertrophic cardiomyopathy,
icd-10-mc,I42.3,I423,Endomyocardial (eosinophilic) disease,
icd-10-mc,I42.4,I424,Endocardial fibroelastosis,
icd-10-mc,I42.5,I425,Other restrictive cardiomyopathy,
icd-10-mc,I42.6,I426,Alcoholic cardiomyopathy,
icd-10-mc,I42.7,I427,Cardiomyopathy due to drug and external agent,
icd-10-mc,I42.8,I428,Other cardiomyopathies,
icd-10-mc,I42.9,I429,"Cardiomyopathy, unspecified",
icd-10-mc,I43,I43,Cardiomyopathy in diseases classified elsewhere,
icd-10-mc,I50.1,I501,"Left ventricular failure, unspecified",
icd-10-mc,I50.20,I5020,Unspecified systolic (congestive) heart failure,
icd-10-mc,I50.21,I5021,Acute systolic (congestive) heart failure,
icd-10-mc,I50.22,I5022,Chronic systolic (congestive) heart failure,
icd-10-mc,I50.23,I5023,Acute on chronic systolic (congestive) heart failure,
icd-10-mc,I50.30,I5030,Unspecified diastolic (congestive) heart failure,
icd-10-mc,I50.31,I5031,Acute diastolic (congestive) heart failure,
icd-10-mc,I50.32,I5032,Chronic diastolic (congestive) heart failure,
icd-10-mc,I50.33,I5033,Acute on chronic diastolic (congestive) heart failure,
icd-10-mc,I50.40,I5040,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,
icd-10-mc,I50.41,I5041,Acute combined systolic (congestive) and diastolic (congestive) heart failure,
icd-10-mc,I50.42,I5042,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,
icd-10-mc,I50.43,I5043,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,
icd-10-mc,I50.810,I50810,"Right heart failure, unspecified",
icd-10-mc,I50.811,I50811,Acute right heart failure,
icd-10-mc,I50.812,I50812,Chronic right heart failure,
icd-10-mc,I50.813,I50813,Acute on chronic right heart failure,
icd-10-mc,I50.814,I50814,Right heart failure due to left heart failure,
icd-10-mc,I50.82,I5082,Biventricular heart failure,
icd-10-mc,I50.83,I5083,High output heart failure,
icd-10-mc,I50.84,I5084,End stage heart failure,
icd-10-mc,I50.89,I5089,Other heart failure,
icd-10-mc,I50.9,I509,"Heart failure, unspecified",
icd-10-mc,I51.4,I514,"Myocarditis, unspecified",
icd-10-mc,I51.5,I515,Myocardial degeneration,
