classification_system,code,code_clean,description,source
icd-09-mc,410.00,41000,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",
icd-09-mc,410.01,41001,"Acute myocardial infarction of anterolateral wall, initial episode of care",
icd-09-mc,410.02,41002,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",
icd-09-mc,410.10,41010,"Acute myocardial infarction of other anterior wall, episode of care unspecified",
icd-09-mc,410.11,41011,"Acute myocardial infarction of other anterior wall, initial episode of care",
icd-09-mc,410.12,41012,"Acute myocardial infarction of other anterior wall, subsequent episode of care",
icd-09-mc,410.20,41020,"Acute myocardial infarction of inferolateral wall, episode of care unspecified",
icd-09-mc,410.21,41021,"Acute myocardial infarction of inferolateral wall, initial episode of care",
icd-09-mc,410.22,41022,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",
icd-09-mc,410.30,41030,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified",
icd-09-mc,410.31,41031,"Acute myocardial infarction of inferoposterior wall, initial episode of care",
icd-09-mc,410.32,41032,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",
icd-09-mc,410.40,41040,"Acute myocardial infarction of other inferior wall, episode of care unspecified",
icd-09-mc,410.41,41041,"Acute myocardial infarction of other inferior wall, initial episode of care",
icd-09-mc,410.42,41042,"Acute myocardial infarction of other inferior wall, subsequent episode of care",
icd-09-mc,410.50,41050,"Acute myocardial infarction of other lateral wall, episode of care unspecified",
icd-09-mc,410.51,41051,"Acute myocardial infarction of other lateral wall, initial episode of care",
icd-09-mc,410.52,41052,"Acute myocardial infarction of other lateral wall, subsequent episode of care",
icd-09-mc,410.60,41060,"True posterior wall infarction, episode of care unspecified",
icd-09-mc,410.61,41061,"True posterior wall infarction, initial episode of care",
icd-09-mc,410.62,41062,"True posterior wall infarction, subsequent episode of care",
icd-09-mc,410.70,41070,"Subendocardial infarction, episode of care unspecified",
icd-09-mc,410.71,41071,"Subendocardial infarction, initial episode of care",
icd-09-mc,410.72,41072,"Subendocardial infarction, subsequent episode of care",
icd-09-mc,410.80,41080,"Acute myocardial infarction of other specified sites, episode of care unspecified",
icd-09-mc,410.81,41081,"Acute myocardial infarction of other specified sites, initial episode of care",
icd-09-mc,410.82,41082,"Acute myocardial infarction of other specified sites, subsequent episode of care",
icd-09-mc,410.90,41090,"Acute myocardial infarction of unspecified site, episode of care unspecified",
icd-09-mc,410.91,41091,"Acute myocardial infarction of unspecified site, initial episode of care",
icd-09-mc,410.92,41092,"Acute myocardial infarction of unspecified site, subsequent episode of care",
icd-09-mc,411.0,4110,Postmyocardial infarction syndrome,
icd-09-mc,411.1,4111,Intermediate coronary syndrome,
icd-09-mc,411.81,41181,Acute coronary occlusion without myocardial infarction,
icd-09-mc,411.89,41189,"Other acute and subacute forms of ischemic heart disease, other",
icd-09-mc,412,412,Old myocardial infarction,
icd-09-mc,413.0,4130,Angina decubitus,
icd-09-mc,413.1,4131,Prinzmetal angina,
icd-09-mc,413.9,4139,Other and unspecified angina pectoris,
icd-09-mc,429.5,4295,Rupture of chordae tendineae,
icd-09-mc,429.6,4296,Rupture of papillary muscle,
icd-10-mc,I20.0,I200,Unstable angina,
icd-10-mc,I20.1,I201,Angina pectoris with documented spasm,
icd-10-mc,I20.2,I202,Refractory angina pectoris,
icd-10-mc,I20.8,I208,Other forms of angina pectoris,
icd-10-mc,I20.9,I209,"Angina pectoris, unspecified",
icd-10-mc,I21.01,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,
icd-10-mc,I21.02,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,
icd-10-mc,I21.09,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,
icd-10-mc,I21.11,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,
icd-10-mc,I21.19,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,
icd-10-mc,I21.21,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,
icd-10-mc,I21.29,I2129,ST elevation (STEMI) myocardial infarction involving other sites,
icd-10-mc,I21.3,I213,ST elevation (STEMI) myocardial infarction of unspecified site,
icd-10-mc,I21.4,I214,Non-ST elevation (NSTEMI) myocardial infarction,
icd-10-mc,I21.9,I219,"Acute myocardial infarction, unspecified",
icd-10-mc,I21.A1,I21A1,Myocardial infarction type 2,
icd-10-mc,I21.A9,I21A9,Other myocardial infarction type,
icd-10-mc,I22.0,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,
icd-10-mc,I22.1,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,
icd-10-mc,I22.2,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,
icd-10-mc,I22.8,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,
icd-10-mc,I22.9,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,
icd-10-mc,I24.0,I240,Acute coronary thrombosis not resulting in myocardial infarction,
icd-10-mc,I24.1,I241,Dressler's syndrome,
icd-10-mc,I24.8,I248,Other forms of acute ischemic heart disease,
icd-10-mc,I24.9,I249,"Acute ischemic heart disease, unspecified",
icd-10-mc,I25.2,I252,Old myocardial infarction,
icd-10-mc,I51.1,I511,"Rupture of chordae tendineae, not elsewhere classified",
icd-10-mc,I51.2,I512,"Rupture of papillary muscle, not elsewhere classified",
