classification_system,code,code_clean,description,source
icd-09-mc,046.0,460,Kuru,
icd-09-mc,046.11,4611,Variant Creutzfeldt-Jakob disease,
icd-09-mc,046.19,4619,Other and unspecified Creutzfeldt-Jakob disease,
icd-09-mc,046.2,462,Subacute sclerosing panencephalitis,
icd-09-mc,046.3,463,Progressive multifocal leukoencephalopathy,
icd-09-mc,046.71,4671,Gerstmann-Str�ussler-Scheinker syndrome,
icd-09-mc,046.72,4672,Fatal familial insomnia,
icd-09-mc,046.79,4679,Other and unspecified prion disease of central nervous system,
icd-09-mc,046.8,468,Other specified slow virus infection of central nervous system,
icd-09-mc,046.9,469,Unspecified slow virus infection of central nervous system,
icd-09-mc,290.0,2900,"Senile dementia, uncomplicated",
icd-09-mc,290.10,29010,"Presenile dementia, uncomplicated",
icd-09-mc,290.11,29011,Presenile dementia with delirium,
icd-09-mc,290.12,29012,Presenile dementia with delusional features,
icd-09-mc,290.13,29013,Presenile dementia with depressive features,
icd-09-mc,290.20,29020,Senile dementia with delusional features,
icd-09-mc,290.21,29021,Senile dementia with depressive features,
icd-09-mc,290.3,2903,Senile dementia with delirium,
icd-09-mc,290.40,29040,"Vascular dementia, uncomplicated",
icd-09-mc,290.41,29041,"Vascular dementia, with delirium",
icd-09-mc,290.42,29042,"Vascular dementia, with delusions",
icd-09-mc,290.43,29043,"Vascular dementia, with depressed mood",
icd-09-mc,290.8,2908,Other specified senile psychotic conditions,
icd-09-mc,290.9,2909,Unspecified senile psychotic condition,
icd-09-mc,294.0,2940,Amnestic disorder in conditions classified elsewhere,
icd-09-mc,294.10,29410,Dementia in conditions classified elsewhere without behavioral disturbance,
icd-09-mc,294.11,29411,Dementia in conditions classified elsewhere with behavioral disturbance,
icd-09-mc,294.20,29420,"Dementia, unspecified, without behavioral disturbance",
icd-09-mc,294.21,29421,"Dementia, unspecified, with behavioral disturbance",
icd-09-mc,294.8,2948,Other persistent mental disorders due to conditions classified elsewhere,
icd-09-mc,294.9,2949,Unspecified persistent mental disorders due to conditions classified elsewhere,
icd-09-mc,330.0,3300,Leukodystrophy,
icd-09-mc,330.1,3301,Cerebral lipidoses,
icd-09-mc,330.2,3302,Cerebral degeneration in generalized lipidoses,
icd-09-mc,330.3,3303,Cerebral degeneration of childhood in other diseases classified elsewhere,
icd-09-mc,330.8,3308,Other specified cerebral degenerations in childhood,
icd-09-mc,330.9,3309,Unspecified cerebral degeneration in childhood,
icd-09-mc,331.0,3310,Alzheimer's disease,
icd-09-mc,331.11,33111,Pick's disease,
icd-09-mc,331.19,33119,Other frontotemporal dementia,
icd-09-mc,331.2,3312,Senile degeneration of brain,
icd-09-mc,331.3,3313,Communicating hydrocephalus,
icd-09-mc,331.4,3314,Obstructive hydrocephalus,
icd-09-mc,331.5,3315,Idiopathic normal pressure hydrocephalus (INPH),
icd-09-mc,331.6,3316,Corticobasal degeneration,
icd-09-mc,331.7,3317,Cerebral degeneration in diseases classified elsewhere,
icd-09-mc,331.81,33181,Reye's syndrome,
icd-09-mc,331.82,33182,Dementia with lewy bodies,
icd-09-mc,331.83,33183,"Mild cognitive impairment, so stated",
icd-09-mc,331.89,33189,Other cerebral degeneration,
icd-09-mc,331.9,3319,"Cerebral degeneration, unspecified",
icd-10-mc,A81.00,A8100,"Creutzfeldt-Jakob disease, unspecified",
icd-10-mc,A81.01,A8101,Variant Creutzfeldt-Jakob disease,
icd-10-mc,A81.09,A8109,Other Creutzfeldt-Jakob disease,
