classification_system,code,code_clean,description,source
icd-09-mc,296.20,29620,"Major depressive affective disorder, single episode, unspecified",
icd-09-mc,296.21,29621,"Major depressive affective disorder, single episode, mild",
icd-09-mc,296.22,29622,"Major depressive affective disorder, single episode, moderate",
icd-09-mc,296.23,29623,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior",
icd-09-mc,296.25,29625,"Major depressive affective disorder, single episode, in partial or unspecified remission",
icd-09-mc,296.26,29626,"Major depressive affective disorder, single episode, in full remission",
icd-09-mc,296.30,29630,"Major depressive affective disorder, recurrent episode, unspecified",
icd-09-mc,296.31,29631,"Major depressive affective disorder, recurrent episode, mild",
icd-09-mc,296.32,29632,"Major depressive affective disorder, recurrent episode, moderate",
icd-09-mc,296.33,29633,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",
icd-09-mc,296.35,29635,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission",
icd-09-mc,296.36,29636,"Major depressive affective disorder, recurrent episode, in full remission",
icd-09-mc,300.4,3004,Dysthymic disorder,
icd-09-mc,301.10,30110,"Affective personality disorder, unspecified",
icd-09-mc,301.11,30111,Chronic hypomanic personality disorder,
icd-09-mc,301.12,30112,Chronic depressive personality disorder,
icd-09-mc,301.13,30113,Cyclothymic disorder,
icd-09-mc,309.1,3091,Prolonged depressive reaction,
icd-09-mc,311,311,"Depressive disorder, not elsewhere classified",
icd-10-mc,F32.0,F320,"Major depressive disorder, single episode, mild",
icd-10-mc,F32.1,F321,"Major depressive disorder, single episode, moderate",
icd-10-mc,F32.2,F322,"Major depressive disorder, single episode, severe without psychotic features",
icd-10-mc,F32.4,F324,"Major depressive disorder, single episode, in partial remission",
icd-10-mc,F32.5,F325,"Major depressive disorder, single episode, in full remission",
icd-10-mc,F32.9,F329,"Major depressive disorder, single episode, unspecified",
icd-10-mc,F33.0,F330,"Major depressive disorder, recurrent, mild",
icd-10-mc,F33.1,F331,"Major depressive disorder, recurrent, moderate",
icd-10-mc,F33.2,F332,"Major depressive disorder, recurrent severe without psychotic features",
icd-10-mc,F33.40,F3340,"Major depressive disorder, recurrent, in remission, unspecified",
icd-10-mc,F33.41,F3341,"Major depressive disorder, recurrent, in partial remission",
icd-10-mc,F33.42,F3342,"Major depressive disorder, recurrent, in full remission",
icd-10-mc,F33.9,F339,"Major depressive disorder, recurrent, unspecified",
icd-10-mc,F34.0,F340,Cyclothymic disorder,
icd-10-mc,F34.1,F341,Dysthymic disorder,
icd-10-mc,F43.21,F4321,Adjustment disorder with depressed mood,
icd-10-mc,F60.89,F6089,Other specific personality disorders,
