classification_system,code,code_clean,description,source
icd-09-mc,249.00,24900,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",
icd-09-mc,249.01,24901,"Secondary diabetes mellitus without mention of complication, uncontrolled",
icd-09-mc,249.10,24910,"Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified",
icd-09-mc,249.11,24911,"Secondary diabetes mellitus with ketoacidosis, uncontrolled",
icd-09-mc,249.20,24920,"Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified",
icd-09-mc,249.21,24921,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled",
icd-09-mc,249.30,24930,"Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified",
icd-09-mc,249.31,24931,"Secondary diabetes mellitus with other coma, uncontrolled",
icd-09-mc,249.40,24940,"Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified",
icd-09-mc,249.41,24941,"Secondary diabetes mellitus with renal manifestations, uncontrolled",
icd-09-mc,249.50,24950,"Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified",
icd-09-mc,249.51,24951,"Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled",
icd-09-mc,249.60,24960,"Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified",
icd-09-mc,249.61,24961,"Secondary diabetes mellitus with neurological manifestations, uncontrolled",
icd-09-mc,249.70,24970,"Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified",
icd-09-mc,249.71,24971,"Secondary diabetes mellitus with peripheral circulatory disorders, uncontrolled",
icd-09-mc,249.80,24980,"Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified",
icd-09-mc,249.81,24981,"Secondary diabetes mellitus with other specified manifestations, uncontrolled",
icd-09-mc,249.90,24990,"Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified",
icd-09-mc,249.91,24991,"Secondary diabetes mellitus with unspecified complication, uncontrolled",
icd-09-mc,250.00,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.01,25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.02,25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",
icd-09-mc,250.03,25003,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",
icd-09-mc,250.10,25010,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.11,25011,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.12,25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",
icd-09-mc,250.13,25013,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",
icd-09-mc,250.20,25020,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.21,25021,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.22,25022,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",
icd-09-mc,250.23,25023,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled",
icd-09-mc,250.30,25030,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.31,25031,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.32,25032,"Diabetes with other coma, type II or unspecified type, uncontrolled",
icd-09-mc,250.33,25033,"Diabetes with other coma, type I [juvenile type], uncontrolled",
icd-09-mc,250.40,25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.41,25041,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.42,25042,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",
icd-09-mc,250.43,25043,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",
icd-09-mc,250.50,25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.51,25051,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.52,25052,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",
icd-09-mc,250.53,25053,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",
icd-09-mc,250.60,25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.61,25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.62,25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",
icd-09-mc,250.63,25063,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",
icd-09-mc,250.70,25070,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",
icd-09-mc,250.71,25071,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled",
icd-09-mc,250.72,25072,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",
icd-09-mc,250.73,25073,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled",
