classification_system,code,code_clean,description,source
icd-09-mc,555.0,5550,Regional enteritis of small intestine,
icd-09-mc,555.1,5551,Regional enteritis of large intestine,
icd-09-mc,555.2,5552,Regional enteritis of small intestine with large intestine,
icd-09-mc,555.9,5559,Regional enteritis of unspecified site,
icd-09-mc,556.0,5560,Ulcerative (chronic) enterocolitis,
icd-09-mc,556.1,5561,Ulcerative (chronic) ileocolitis,
icd-09-mc,556.2,5562,Ulcerative (chronic) proctitis,
icd-09-mc,556.3,5563,Ulcerative (chronic) proctosigmoiditis,
icd-09-mc,556.4,5564,Pseudopolyposis of colon,
icd-09-mc,556.5,5565,Left-sided ulcerative (chronic) colitis,
icd-09-mc,556.6,5566,Universal ulcerative (chronic) colitis,
icd-09-mc,556.8,5568,Other ulcerative colitis,
icd-09-mc,556.9,5569,"Ulcerative colitis, unspecified",
icd-10-mc,K50.00,K5000,Crohn's disease of small intestine without complications,
icd-10-mc,K50.011,K50011,Crohn's disease of small intestine with rectal bleeding,
icd-10-mc,K50.012,K50012,Crohn's disease of small intestine with intestinal obstruction,
icd-10-mc,K50.013,K50013,Crohn's disease of small intestine with fistula,
icd-10-mc,K50.014,K50014,Crohn's disease of small intestine with abscess,
icd-10-mc,K50.018,K50018,Crohn's disease of small intestine with other complication,
icd-10-mc,K50.019,K50019,Crohn's disease of small intestine with unspecified complications,
icd-10-mc,K50.10,K5010,Crohn's disease of large intestine without complications,
icd-10-mc,K50.111,K50111,Crohn's disease of large intestine with rectal bleeding,
icd-10-mc,K50.112,K50112,Crohn's disease of large intestine with intestinal obstruction,
icd-10-mc,K50.113,K50113,Crohn's disease of large intestine with fistula,
icd-10-mc,K50.114,K50114,Crohn's disease of large intestine with abscess,
icd-10-mc,K50.118,K50118,Crohn's disease of large intestine with other complication,
icd-10-mc,K50.119,K50119,Crohn's disease of large intestine with unspecified complications,
icd-10-mc,K50.80,K5080,Crohn's disease of both small and large intestine without complications,
icd-10-mc,K50.811,K50811,Crohn's disease of both small and large intestine with rectal bleeding,
icd-10-mc,K50.812,K50812,Crohn's disease of both small and large intestine with intestinal obstruction,
icd-10-mc,K50.813,K50813,Crohn's disease of both small and large intestine with fistula,
icd-10-mc,K50.814,K50814,Crohn's disease of both small and large intestine with abscess,
icd-10-mc,K50.818,K50818,Crohn's disease of both small and large intestine with other complication,
icd-10-mc,K50.819,K50819,Crohn's disease of both small and large intestine with unspecified complications,
icd-10-mc,K50.90,K5090,"Crohn's disease, unspecified, without complications",
icd-10-mc,K50.911,K50911,"Crohn's disease, unspecified, with rectal bleeding",
icd-10-mc,K50.912,K50912,"Crohn's disease, unspecified, with intestinal obstruction",
icd-10-mc,K50.913,K50913,"Crohn's disease, unspecified, with fistula",
icd-10-mc,K50.914,K50914,"Crohn's disease, unspecified, with abscess",
icd-10-mc,K50.918,K50918,"Crohn's disease, unspecified, with other complication",
icd-10-mc,K50.919,K50919,"Crohn's disease, unspecified, with unspecified complications",
icd-10-mc,K51.00,K5100,Ulcerative (chronic) pancolitis without complications,
icd-10-mc,K51.011,K51011,Ulcerative (chronic) pancolitis with rectal bleeding,
icd-10-mc,K51.012,K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,
icd-10-mc,K51.013,K51013,Ulcerative (chronic) pancolitis with fistula,
icd-10-mc,K51.014,K51014,Ulcerative (chronic) pancolitis with abscess,
icd-10-mc,K51.018,K51018,Ulcerative (chronic) pancolitis with other complication,
