classification_system,code,code_clean,description,source
icd-09-mc,278.00,27800,"Obesity, unspecified",
icd-09-mc,278.01,27801,Morbid obesity,
icd-09-mc,278.02,27802,Overweight,
icd-09-mc,278.03,27803,Obesity hypoventilation syndrome,
icd-09-mc,V85.21,V8521,"Body Mass Index 25.0-25.9, adult",
icd-09-mc,V85.22,V8522,"Body Mass Index 26.0-26.9, adult",
icd-09-mc,V85.23,V8523,"Body Mass Index 27.0-27.9, adult",
icd-09-mc,V85.24,V8524,"Body Mass Index 28.0-28.9, adult",
icd-09-mc,V85.25,V8525,"Body Mass Index 29.0-29.9, adult",
icd-09-mc,V85.30,V8530,"Body Mass Index 30.0-30.9, adult",
icd-09-mc,V85.31,V8531,"Body Mass Index 31.0-31.9, adult",
icd-09-mc,V85.32,V8532,"Body Mass Index 32.0-32.9, adult",
icd-09-mc,V85.33,V8533,"Body Mass Index 33.0-33.9, adult",
icd-09-mc,V85.34,V8534,"Body Mass Index 34.0-34.9, adult",
icd-09-mc,V85.35,V8535,"Body Mass Index 35.0-35.9, adult",
icd-09-mc,V85.36,V8536,"Body Mass Index 36.0-36.9, adult",
icd-09-mc,V85.37,V8537,"Body Mass Index 37.0-37.9, adult",
icd-09-mc,V85.38,V8538,"Body Mass Index 38.0-38.9, adult",
icd-09-mc,V85.39,V8539,"Body Mass Index 39.0-39.9, adult",
icd-09-mc,V85.41,V8541,"Body Mass Index 40.0-44.9, adult",
icd-09-mc,V85.42,V8542,"Body Mass Index 45.0-49.9, adult",
icd-09-mc,V85.43,V8543,"Body Mass Index 50.0-59.9, adult",
icd-09-mc,V85.44,V8544,"Body Mass Index 60.0-69.9, adult",
icd-09-mc,V85.45,V8545,"Body Mass Index 70 and over, adult",
icd-10-mc,E66.01,E6601,Morbid (severe) obesity due to excess calories,
icd-10-mc,E66.09,E6609,Other obesity due to excess calories,
icd-10-mc,E66.1,E661,Drug-induced obesity,
icd-10-mc,E66.2,E662,Morbid (severe) obesity with alveolar hypoventilation,
icd-10-mc,E66.3,E663,Overweight,
icd-10-mc,E66.8,E668,Other obesity,
icd-10-mc,E66.9,E669,"Obesity, unspecified",
icd-10-mc,Z68.25,Z6825,"Body mass index [BMI] 25.0-25.9, adult",
icd-10-mc,Z68.26,Z6826,"Body mass index [BMI] 26.0-26.9, adult",
icd-10-mc,Z68.27,Z6827,"Body mass index [BMI] 27.0-27.9, adult",
icd-10-mc,Z68.28,Z6828,"Body mass index [BMI] 28.0-28.9, adult",
icd-10-mc,Z68.29,Z6829,"Body mass index [BMI] 29.0-29.9, adult",
icd-10-mc,Z68.30,Z6830,"Body mass index [BMI] 30.0-30.9, adult",
icd-10-mc,Z68.31,Z6831,"Body mass index [BMI] 31.0-31.9, adult",
icd-10-mc,Z68.32,Z6832,"Body mass index [BMI] 32.0-32.9, adult",
icd-10-mc,Z68.33,Z6833,"Body mass index [BMI] 33.0-33.9, adult",
icd-10-mc,Z68.34,Z6834,"Body mass index [BMI] 34.0-34.9, adul",
icd-10-mc,Z68.35,Z6835,"Body mass index [BMI] 35.0-35.9, adult",
icd-10-mc,Z68.36,Z6836,"Body mass index [BMI] 36.0-36.9, adult",
icd-10-mc,Z68.37,Z6837,"Body mass index [BMI] 37.0-37.9, adult",
icd-10-mc,Z68.38,Z6838,"Body mass index [BMI] 38.0-38.9, adult",
icd-10-mc,Z68.39,Z6839,"Body mass index [BMI] 39.0-39.9, adult",
icd-10-mc,Z68.41,Z6841,"Body mass index [BMI] 40.0-44.9, adult",
icd-10-mc,Z68.42,Z6842,"Body mass index [BMI] 45.0-49.9, adult",
icd-10-mc,Z68.43,Z6843,"Body mass index [BMI] 50.0-59.9, adult",
icd-10-mc,Z68.44,Z6844,"Body mass index [BMI] 60.0-69.9, adult",
icd-10-mc,Z68.45,Z6845,"Body mass index [BMI] 70 or greater, adult",
