classification_system,code,code_clean,description,source
icd-09-mc,040.2,0402,Whipple's disease,
icd-09-mc,072.3,0723,Mumps pancreatitis,
icd-09-mc,251.4,2514,Abnormality of secretion of glucagon,
icd-09-mc,251.5,2515,Abnormality of secretion of gastrin,
icd-09-mc,251.8,2518,Other specified disorders of pancreatic internal secretion,
icd-09-mc,251.9,2519,Unspecified disorder of pancreatic internal secretion,
icd-09-mc,577.0,5770,Acute pancreatitis,
icd-09-mc,577.1,5771,Chronic pancreatitis,
icd-09-mc,577.2,5772,Cyst and pseudocyst of pancreas,
icd-09-mc,577.8,5778,Other specified diseases of pancreas,
icd-09-mc,577.9,5779,Unspecified disease of pancreas,
icd-09-mc,579.0,5790,Celiac disease,
icd-09-mc,579.1,5791,Tropical sprue,
icd-09-mc,579.2,5792,Blind loop syndrome,
icd-09-mc,579.3,5793,Other and unspecified postsurgical nonabsorption,
icd-09-mc,579.4,5794,Pancreatic steatorrhea,
icd-09-mc,579.8,5798,Other specified intestinal malabsorption,
icd-09-mc,579.9,5799,Unspecified intestinal malabsorption,
icd-10-mc,B26.3,B263,Mumps pancreatitis,
icd-10-mc,E16.3,E163,Increased secretion of glucagon,
icd-10-mc,E16.4,E164,Increased secretion of gastrin,
icd-10-mc,E16.8,E168,Other specified disorders of pancreatic internal secretion,
icd-10-mc,E16.9,E169,"Disorder of pancreatic internal secretion, unspecified",
icd-10-mc,K85.00,K8500,Idiopathic acute pancreatitis without necrosis or infection,
icd-10-mc,K85.01,K8501,Idiopathic acute pancreatitis with uninfected necrosis,
icd-10-mc,K85.02,K8502,Idiopathic acute pancreatitis with infected necrosis,
icd-10-mc,K85.10,K8510,Biliary acute pancreatitis without necrosis or infection,
icd-10-mc,K85.11,K8511,Biliary acute pancreatitis with uninfected necrosis,
icd-10-mc,K85.12,K8512,Biliary acute pancreatitis with infected necrosis,
icd-10-mc,K85.20,K8520,Alcohol induced acute pancreatitis without necrosis or infection,
icd-10-mc,K85.21,K8521,Alcohol induced acute pancreatitis with uninfected necrosis,
icd-10-mc,K85.22,K8522,Alcohol induced acute pancreatitis with infected necrosis,
icd-10-mc,K85.30,K8530,Drug induced acute pancreatitis without necrosis or infection,
icd-10-mc,K85.31,K8531,Drug induced acute pancreatitis with uninfected necrosis,
icd-10-mc,K85.32,K8532,Drug induced acute pancreatitis with infected necrosis,
icd-10-mc,K85.80,K8580,Other acute pancreatitis without necrosis or infection,
icd-10-mc,K85.81,K8581,Other acute pancreatitis with uninfected necrosis,
icd-10-mc,K85.82,K8582,Other acute pancreatitis with infected necrosis,
icd-10-mc,K85.90,K8590,"Acute pancreatitis without necrosis or infection, unspecified",
icd-10-mc,K85.91,K8591,"Acute pancreatitis with uninfected necrosis, unspecified",
icd-10-mc,K85.92,K8592,"Acute pancreatitis with infected necrosis, unspecified",
icd-10-mc,K86.0,K860,Alcohol-induced chronic pancreatitis,
icd-10-mc,K86.1,K861,Other chronic pancreatitis,
icd-10-mc,K86.2,K862,Cyst of pancreas,
icd-10-mc,K86.3,K863,Pseudocyst of pancreas,
icd-10-mc,K86.81,K8681,Exocrine pancreatic insufficiency,
icd-10-mc,K86.89,K8689,Other specified diseases of pancreas,
icd-10-mc,K86.9,K869,"Disease of pancreas, unspecified",
icd-10-mc,K87,K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",
icd-10-mc,K90.0,K900,Celiac disease,
icd-10-mc,K90.1,K901,Tropical sprue,
icd-10-mc,K90.2,K902,"Blind loop syndrome, not elsewhere classified",
icd-10-mc,K90.3,K903,Pancreatic steatorrhea,
icd-10-mc,K90.41,K9041,Non-celiac gluten sensitivity,
icd-10-mc,K90.49,K9049,"Malabsorption due to intolerance, not elsewhere classified",
icd-10-mc,K90.81,K9081,Whipple's disease,
icd-10-mc,K90.89,K9089,Other intestinal malabsorption,
icd-10-mc,K90.9,K909,"Intestinal malabsorption, unspecified",
icd-10-mc,K91.2,K912,"Postsurgical malabsorption, not elsewhere classified",
