classification_system,code,code_clean,description,source
icd-09-mc,332.0,3320,Paralysis agitans,
icd-09-mc,332.1,3321,Secondary parkinsonism,
icd-09-mc,333.0,3330,Other degenerative diseases of the basal ganglia,
icd-09-mc,333.4,3334,Huntington's chorea,
icd-10-mc,G20,G20,Parkinson's disease,
icd-10-mc,G21.11,G2111,Neuroleptic induced parkinsonism,
icd-10-mc,G21.19,G2119,Other drug induced secondary parkinsonism,
icd-10-mc,G21.2,G212,Secondary parkinsonism due to other external agents,
icd-10-mc,G21.3,G213,Postencephalitic parkinsonism,
icd-10-mc,G21.4,G214,Vascular parkinsonism,
icd-10-mc,G21.8,G218,Other secondary parkinsonism,
icd-10-mc,G23.0,G230,"Secondary parkinsonism, unspecified",
icd-10-mc,G23.1,G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],
icd-10-mc,G23.2,G232,Striatonigral degeneration,
icd-10-mc,G23.8,G238,Other specified degenerative diseases of basal ganglia,
icd-10-mc,G23.9,G239,"Degenerative disease of basal ganglia, unspecified",
icd-10-mc,G10,G10,Huntington's disease,
