classification_system,code,code_clean,description,source
icd-09-mc,040.0,400,Gas gangrene,
icd-09-mc,415.11,41511,Iatrogenic pulmonary embolism and infarction,
icd-09-mc,415.12,41512,Septic pulmonary embolism,
icd-09-mc,415.13,41513,Saddle embolus of pulmonary artery,
icd-09-mc,415.19,41519,Other pulmonary embolism and infarction,
icd-09-mc,416.2,4162,Chronic pulmonary embolism,
icd-09-mc,440.0,4400,Atherosclerosis of aorta,
icd-09-mc,440.1,4401,Atherosclerosis of renal artery,
icd-09-mc,440.20,44020,"Atherosclerosis of native arteries of the extremities, unspecified",
icd-09-mc,440.21,44021,Atherosclerosis of native arteries of the extremities with intermittent claudication,
icd-09-mc,440.22,44022,Atherosclerosis of native arteries of the extremities with rest pain,
icd-09-mc,440.23,44023,Atherosclerosis of native arteries of the extremities with ulceration,
icd-09-mc,440.24,44024,Atherosclerosis of native arteries of the extremities with gangrene,
icd-09-mc,440.29,44029,Other atherosclerosis of native arteries of the extremities,
icd-09-mc,440.30,44030,Atherosclerosis of unspecified bypass graft of the extremities,
icd-09-mc,440.31,44031,Atherosclerosis of autologous vein bypass graft of the extremities,
icd-09-mc,440.32,44032,Atherosclerosis of nonautologous biological bypass graft of the extremities,
icd-09-mc,440.4,4404,Chronic total occlusion of artery of the extremities,
icd-09-mc,441.00,44100,"Dissection of aorta, unspecified site",
icd-09-mc,441.01,44101,"Dissection of aorta, thoracic",
icd-09-mc,441.02,44102,"Dissection of aorta, abdominal",
icd-09-mc,441.03,44103,"Dissection of aorta, thoracoabdominal",
icd-09-mc,441.1,4411,"Thoracic aneurysm, ruptured",
icd-09-mc,441.2,4412,Thoracic aneurysm without mention of rupture,
icd-09-mc,441.3,4413,"Abdominal aneurysm, ruptured",
icd-09-mc,441.4,4414,Abdominal aneurysm without mention of rupture,
icd-09-mc,441.5,4415,"Aortic aneurysm of unspecified site, ruptured",
icd-09-mc,441.6,4416,"Thoracoabdominal aneurysm, ruptured",
icd-09-mc,441.7,4417,"Thoracoabdominal aneurysm, without mention of rupture",
icd-09-mc,441.9,4419,Aortic aneurysm of unspecified site without mention of rupture,
icd-09-mc,442.0,4420,Aneurysm of artery of upper extremity,
icd-09-mc,442.1,4421,Aneurysm of renal artery,
icd-09-mc,442.2,4422,Aneurysm of iliac artery,
icd-09-mc,442.3,4423,Aneurysm of artery of lower extremity,
icd-09-mc,442.81,44281,Aneurysm of artery of neck,
icd-09-mc,442.82,44282,Aneurysm of subclavian artery,
icd-09-mc,442.83,44283,Aneurysm of splenic artery,
icd-09-mc,442.84,44284,Aneurysm of other visceral artery,
icd-09-mc,442.89,44289,Aneurysm of other specified artery,
icd-09-mc,442.9,4429,Aneurysm of unspecified site,
icd-09-mc,443.1,4431,Thromboangiitis obliterans [Buerger's disease],
icd-09-mc,443.21,44321,Dissection of carotid artery,
icd-09-mc,443.22,44322,Dissection of iliac artery,
icd-09-mc,443.23,44323,Dissection of renal artery,
icd-09-mc,443.24,44324,Dissection of vertebral artery,
icd-09-mc,443.29,44329,Dissection of other artery,
icd-09-mc,443.81,44381,Peripheral angiopathy in diseases classified elsewhere,
icd-09-mc,443.82,44382,Erythromelalgia,
icd-09-mc,443.89,44389,Other specified peripheral vascular diseases,
icd-09-mc,443.9,4439,"Peripheral vascular disease, unspecified",
icd-09-mc,444.01,44401,Saddle embolus of abdominal aorta,
icd-09-mc,444.09,44409,Other arterial embolism and thrombosis of abdominal aorta,
