classification_system,code,code_clean,description,source
icd-09-mc,345.00,34500,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",
icd-09-mc,345.01,34501,"Generalized nonconvulsive epilepsy, with intractable epilepsy",
icd-09-mc,345.1,34510,"Generalized convulsive epilepsy, without mention of intractable epilepsy",
icd-09-mc,345.11,34511,"Generalized convulsive epilepsy, with intractable epilepsy",
icd-09-mc,345.2,3452,Petit mal status,
icd-09-mc,345.3,3453,Grand mal status,
icd-09-mc,345.40,34540,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",
icd-09-mc,345.41,34541,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy",
icd-09-mc,345.50,34550,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",
icd-09-mc,345.51,34551,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy",
icd-09-mc,345.60,34560,"Infantile spasms, without mention of intractable epilepsy",
icd-09-mc,345.61,34561,"Infantile spasms, with intractable epilepsy",
icd-09-mc,345.70,34570,"Epilepsia partialis continua, without mention of intractable epilepsy",
icd-09-mc,345.71,34571,"Epilepsia partialis continua, with intractable epilepsy",
icd-09-mc,345.80,34580,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy",
icd-09-mc,345.81,34581,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy",
icd-09-mc,345.90,34590,"Epilepsy, unspecified, without mention of intractable epilepsy",
icd-09-mc,345.91,34591,"Epilepsy, unspecified, with intractable epilepsy",
icd-09-mc,780.31,78031,"Febrile convulsions (simple), unspecified",
icd-09-mc,780.32,78032,Complex febrile convulsions,
icd-09-mc,780.33,78033,Post traumatic seizures,
icd-09-mc,780.39,78039,Other convulsions,
icd-10-mc,G40.101,G40101,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus",
icd-10-mc,G40.109,G40109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",
icd-10-mc,G40.111,G40111,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus",
icd-10-mc,G40.119,G40119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus",
icd-10-mc,G40.201,G40201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",
icd-10-mc,G40.209,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",
icd-10-mc,G40.211,G40211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus",
icd-10-mc,G40.219,G40219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus",
icd-10-mc,G40.301,G40301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",
icd-10-mc,G40.309,G40309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",
icd-10-mc,G40.311,G40311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",
icd-10-mc,G40.319,G40319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",
icd-10-mc,G40.A01,G40A01,"Absence epileptic syndrome, not intractable, with status epilepticus",
icd-10-mc,G40.A09,G40A09,"Absence epileptic syndrome, not intractable, without status epilepticus",
icd-10-mc,G40.A11,G40A11,"Absence epileptic syndrome, intractable, with status epilepticus",
icd-10-mc,G40.A19,G40A19,"Absence epileptic syndrome, intractable, without status epilepticus",
icd-10-mc,G40.B01,G40B01,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus",
icd-10-mc,G40.B09,G40B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus",
icd-10-mc,G40.B11,G40B11,"Juvenile myoclonic epilepsy, intractable, with status epilepticus",
icd-10-mc,G40.B19,G40B19,"Juvenile myoclonic epilepsy, intractable, without status epilepticus",
icd-10-mc,G40.401,G40401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",
icd-10-mc,G40.409,G40409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",
icd-10-mc,G40.411,G40411,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus",
icd-10-mc,G40.419,G40419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",
icd-10-mc,G40.42,G4042,Cyclin-Dependent Kinase-Like 5 Deficiency Disorder,
icd-10-mc,G40.501,G40501,"Epileptic seizures related to external causes, not intractable, with status epilepticus",
icd-10-mc,G40.509,G40509,"Epileptic seizures related to external causes, not intractable, without status epilepticus",
icd-10-mc,G40.801,G40801,"Other epilepsy, not intractable, with status epilepticus",
icd-10-mc,G40.802,G40802,"Other epilepsy, not intractable, without status epilepticus",
icd-10-mc,G40.803,G40803,"Other epilepsy, intractable, with status epilepticus",
icd-10-mc,G40.804,G40804,"Other epilepsy, intractable, without status epilepticus",
icd-10-mc,G40.811,G40811,"Lennox-Gastaut syndrome, not intractable, with status epilepticus",
icd-10-mc,G40.812,G40812,"Lennox-Gastaut syndrome, not intractable, without status epilepticus",
icd-10-mc,G40.813,G40813,"Lennox-Gastaut syndrome, intractable, with status epilepticus",
icd-10-mc,G40.814,G40814,"Lennox-Gastaut syndrome, intractable, without status epilepticus",
icd-10-mc,G40.821,G40821,"Epileptic spasms, not intractable, with status epilepticus",
icd-10-mc,G40.822,G40822,"Epileptic spasms, not intractable, without status epilepticus",
icd-10-mc,G40.823,G40823,"Epileptic spasms, intractable, with status epilepticus",
icd-10-mc,G40.824,G40824,"Epileptic spasms, intractable, without status epilepticus",
icd-10-mc,G40.833,G40833,"Dravet syndrome, intractable, with status epilepticus",
icd-10-mc,G40.834,G40834,"Dravet syndrome, intractable, without status epilepticus",
icd-10-mc,G40.89,G4089,Other seizures,
icd-10-mc,G40.901,G40901,"Epilepsy, unspecified, not intractable, with status epilepticus",
icd-10-mc,G40.909,G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",
icd-10-mc,G40.911,G40911,"Epilepsy, unspecified, intractable, with status epilepticus",
icd-10-mc,G40.919,G40919,"Epilepsy, unspecified, intractable, without status epilepticus",
icd-10-mc,R56.00,R5600,Simple febrile convulsions,
icd-10-mc,R56.01,R5601,Complex febrile convulsions,
icd-10-mc,R56.1,R561,Post traumatic seizures,
icd-10-mc,R56.9,R569,Unspecified convulsions,
