classification_system,code,code_clean,description,source
icd-09-mc,295.00,29500,"Simple type schizophrenia, unspecified",
icd-09-mc,295.01,29501,"Simple type schizophrenia, subchronic",
icd-09-mc,295.02,29502,"Simple type schizophrenia, chronic",
icd-09-mc,295.03,29503,"Simple type schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.04,29504,"Simple type schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.05,29505,"Simple type schizophrenia, in remission",
icd-09-mc,295.10,29510,"Disorganized type schizophrenia, unspecified",
icd-09-mc,295.11,29511,"Disorganized type schizophrenia, subchronic",
icd-09-mc,295.12,29512,"Disorganized type schizophrenia, chronic",
icd-09-mc,295.13,29513,"Disorganized type schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.14,29514,"Disorganized type schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.15,29515,"Disorganized type schizophrenia, in remission",
icd-09-mc,295.20,29520,"Catatonic type schizophrenia, unspecified",
icd-09-mc,295.21,29521,"Catatonic type schizophrenia, subchronic",
icd-09-mc,295.22,29522,"Catatonic type schizophrenia, chronic",
icd-09-mc,295.23,29523,"Catatonic type schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.24,29524,"Catatonic type schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.25,29525,"Catatonic type schizophrenia, in remission",
icd-09-mc,295.30,29530,"Paranoid type schizophrenia, unspecified",
icd-09-mc,295.31,29531,"Paranoid type schizophrenia, subchronic",
icd-09-mc,295.32,29532,"Paranoid type schizophrenia, chronic",
icd-09-mc,295.33,29533,"Paranoid type schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.34,29534,"Paranoid type schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.35,29535,"Paranoid type schizophrenia, in remission",
icd-09-mc,295.40,29540,"Schizophreniform disorder, unspecified",
icd-09-mc,295.41,29541,"Schizophreniform disorder, subchronic",
icd-09-mc,295.42,29542,"Schizophreniform disorder, chronic",
icd-09-mc,295.43,29543,"Schizophreniform disorder, subchronic with acute exacerbation",
icd-09-mc,295.44,29544,"Schizophreniform disorder, chronic with acute exacerbation",
icd-09-mc,295.45,29545,"Schizophreniform disorder, in remission",
icd-09-mc,295.50,29550,"Latent schizophrenia, unspecified",
icd-09-mc,295.51,29551,"Latent schizophrenia, subchronic",
icd-09-mc,295.52,29552,"Latent schizophrenia, chronic",
icd-09-mc,295.53,29553,"Latent schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.54,29554,"Latent schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.55,29555,"Latent schizophrenia, in remission",
icd-09-mc,295.60,29560,"Schizophrenic disorders, residual type, unspecified",
icd-09-mc,295.61,29561,"Schizophrenic disorders, residual type, subchronic",
icd-09-mc,295.62,29562,"Schizophrenic disorders, residual type, chronic",
icd-09-mc,295.63,29563,"Schizophrenic disorders, residual type, subchronic with acute exacerbation",
icd-09-mc,295.64,29564,"Schizophrenic disorders, residual type, chronic with acute exacerbation",
icd-09-mc,295.65,29565,"Schizophrenic disorders, residual type, in remission",
icd-09-mc,295.70,29570,"Schizoaffective disorder, unspecified",
icd-09-mc,295.71,29571,"Schizoaffective disorder, subchronic",
icd-09-mc,295.72,29572,"Schizoaffective disorder, chronic",
icd-09-mc,295.73,29573,"Schizoaffective disorder, subchronic with acute exacerbation",
icd-09-mc,295.74,29574,"Schizoaffective disorder, chronic with acute exacerbation",
icd-09-mc,295.75,29575,"Schizoaffective disorder, in remission",
icd-09-mc,295.80,29580,"Other specified types of schizophrenia, unspecified",
icd-09-mc,295.81,29581,"Other specified types of schizophrenia, subchronic",
icd-09-mc,295.82,29582,"Other specified types of schizophrenia, chronic",
icd-09-mc,295.83,29583,"Other specified types of schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.84,29584,"Other specified types of schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.85,29585,"Other specified types of schizophrenia, in remission",
icd-09-mc,295.90,29590,"Unspecified schizophrenia, unspecified",
icd-09-mc,295.91,29591,"Unspecified schizophrenia, subchronic",
icd-09-mc,295.92,29592,"Unspecified schizophrenia, chronic",
icd-09-mc,295.93,29593,"Unspecified schizophrenia, subchronic with acute exacerbation",
icd-09-mc,295.94,29594,"Unspecified schizophrenia, chronic with acute exacerbation",
icd-09-mc,295.95,29595,"Unspecified schizophrenia, in remission",
icd-09-mc,296.00,29600,"Bipolar I disorder, single manic episode, unspecified",
icd-09-mc,296.01,29601,"Bipolar I disorder, single manic episode, mild",
icd-09-mc,296.02,29602,"Bipolar I disorder, single manic episode, moderate",
icd-09-mc,296.03,29603,"Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior",
icd-09-mc,296.04,29604,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior",
icd-09-mc,296.05,29605,"Bipolar I disorder, single manic episode, in partial or unspecified remission",
icd-09-mc,296.06,29606,"Bipolar I disorder, single manic episode, in full remission",
icd-09-mc,296.10,29610,"Manic affective disorder, recurrent episode, unspecified",
icd-09-mc,296.11,29611,"Manic affective disorder, recurrent episode, mild",
icd-09-mc,296.12,29612,"Manic affective disorder, recurrent episode, moderate",
icd-09-mc,296.13,29613,"Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior",
icd-09-mc,296.14,29614,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior",
icd-09-mc,296.15,29615,"Manic affective disorder, recurrent episode, in partial or unspecified remission",
icd-09-mc,296.16,29616,"Manic affective disorder, recurrent episode, in full remission",
icd-09-mc,296.24,29624,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior",
icd-09-mc,296.34,29634,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior",
