classification_system,code,code_clean,description,source
icd-09-mc,337.00,33700,"Idiopathic peripheral autonomic neuropathy, unspecified",
icd-09-mc,337.01,33701,Carotid sinus syndrome,
icd-09-mc,337.09,33709,Other idiopathic peripheral autonomic neuropathy,
icd-09-mc,337.1,3371,Peripheral autonomic neuropathy in disorders classified elsewhere,
icd-09-mc,337.20,33720,"Reflex sympathetic dystrophy, unspecified",
icd-09-mc,337.21,33721,Reflex sympathetic dystrophy of the upper limb,
icd-09-mc,337.22,33722,Reflex sympathetic dystrophy of the lower limb,
icd-09-mc,337.29,33729,Reflex sympathetic dystrophy of other specified site,
icd-09-mc,337.3,3373,Autonomic dysreflexia,
icd-09-mc,337.9,3379,Unspecified disorder of autonomic nervous system,
icd-09-mc,340,340,Multiple sclerosis,
icd-09-mc,341.0,3410,Neuromyelitis optica,
icd-09-mc,341.1,3411,Schilder's disease,
icd-09-mc,341.8,3418,Other demyelinating diseases of central nervous system,
icd-09-mc,341.9,3419,"Demyelinating disease of central nervous system, unspecified",
icd-09-mc,356.0,3560,Hereditary peripheral neuropathy,
icd-09-mc,356.1,3561,Peroneal muscular atrophy,
icd-09-mc,356.2,3562,Hereditary sensory neuropathy,
icd-09-mc,356.3,3563,Refsum's disease,
icd-09-mc,356.4,3564,Idiopathic progressive polyneuropathy,
icd-09-mc,356.8,3568,Other specified idiopathic peripheral neuropathy,
icd-09-mc,356.9,3569,Unspecified hereditary and idiopathic peripheral neuropathy,
icd-09-mc,357.0,3570,Acute infective polyneuritis,
icd-09-mc,357.1,3571,Polyneuropathy in collagen vascular disease,
icd-09-mc,357.2,3572,Polyneuropathy in diabetes,
icd-09-mc,357.3,3573,Polyneuropathy in malignant disease,
icd-09-mc,357.4,3574,Polyneuropathy in other diseases classified elsewhere,
icd-09-mc,357.5,3575,Alcoholic polyneuropathy,
icd-09-mc,357.6,3576,Polyneuropathy due to drugs,
icd-09-mc,357.7,3577,Polyneuropathy due to other toxic agents,
icd-09-mc,357.81,35781,Chronic inflammatory demyelinating polyneuritis,
icd-09-mc,357.82,35782,Critical illness polyneuropathy,
icd-09-mc,357.89,35789,Other inflammatory and toxic neuropathy,
icd-09-mc,357.9,3579,Unspecified inflammatory and toxic neuropathy,
icd-09-mc,358.00,35800,Myasthenia gravis without (acute) exacerbation,
icd-09-mc,358.01,35801,Myasthenia gravis with (acute) exacerbation,
icd-09-mc,358.1,3581,Myasthenic syndromes in diseases classified elsewhere,
icd-09-mc,358.2,3582,Toxic myoneural disorders,
icd-09-mc,358.30,35830,"Lambert-Eaton syndrome, unspecified",
icd-09-mc,358.31,35831,Lambert-Eaton syndrome in neoplastic disease,
icd-09-mc,358.39,35839,Lambert-Eaton syndrome in other diseases classified elsewhere,
icd-09-mc,358.8,3588,Other specified myoneural disorders,
icd-09-mc,358.9,3589,"Myoneural disorders, unspecified",
icd-09-mc,359.0,3590,Congenital hereditary muscular dystrophy,
icd-09-mc,359.1,3591,Hereditary progressive muscular dystrophy,
icd-09-mc,359.21,35921,Myotonic muscular dystrophy,
icd-09-mc,359.22,35922,Myotonia congenita,
icd-09-mc,359.23,35923,Myotonic chondrodystrophy,
icd-09-mc,359.24,35924,Drug- induced myotonia,
icd-09-mc,359.29,35929,Other specified myotonic disorder,
icd-09-mc,359.3,3593,Periodic paralysis,
icd-09-mc,359.4,3594,Toxic myopathy,
icd-09-mc,359.5,3595,Myopathy in endocrine diseases classified elsewhere,
icd-09-mc,359.6,3596,Symptomatic inflammatory myopathy in diseases classified elsewhere,
icd-09-mc,359.71,35971,Inclusion body myositis,
icd-09-mc,359.79,35979,"Other inflammatory and immune myopathies, NEC",
icd-09-mc,359.81,35981,Critical illness myopathy,
icd-09-mc,359.89,35989,Other myopathies,
icd-09-mc,359.9,3599,"Myopathy, unspecified",
icd-10-mc,E08.42,E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,
icd-10-mc,E09.42,E0942,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,
icd-10-mc,E10.42,E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,
icd-10-mc,E11.42,E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,
icd-10-mc,E13.42,E1342,Other specified diabetes mellitus with diabetic polyneuropathy,
icd-10-mc,G35,G35,Multiple sclerosis,
icd-10-mc,G36.0,G360,Neuromyelitis optica [Devic],
icd-10-mc,G37.0,G370,Diffuse sclerosis of central nervous system,
icd-10-mc,G37.1,G371,Central demyelination of corpus callosum,
icd-10-mc,G37.2,G372,Central pontine myelinolysis,
icd-10-mc,G37.5,G375,Concentric sclerosis [Balo] of central nervous system,
icd-10-mc,G37.8,G378,Other specified demyelinating diseases of central nervous system,
icd-10-mc,G37.9,G379,"Demyelinating disease of central nervous system, unspecified",
icd-10-mc,G60.0,G600,Hereditary motor and sensory neuropathy,
icd-10-mc,G60.1,G601,Refsum's disease,
icd-10-mc,G60.2,G602,Neuropathy in association with hereditary ataxia,
icd-10-mc,G60.3,G603,Idiopathic progressive neuropathy,
icd-10-mc,G60.8,G608,Other hereditary and idiopathic neuropathies,
icd-10-mc,G60.9,G609,"Hereditary and idiopathic neuropathy, unspecified",
icd-10-mc,G61.0,G610,Guillain-Barre syndrome,
icd-10-mc,G61.1,G611,Serum neuropathy,
icd-10-mc,G61.81,G6181,Chronic inflammatory demyelinating polyneuritis,
icd-10-mc,G61.82,G6182,Multifocal motor neuropathy,
icd-10-mc,G61.89,G6189,Other inflammatory polyneuropathies,
icd-10-mc,G61.9,G619,"Inflammatory polyneuropathy, unspecified",
icd-10-mc,G62.0,G620,Drug-induced polyneuropathy,
icd-10-mc,G62.1,G621,Alcoholic polyneuropathy,
icd-10-mc,G62.2,G622,Polyneuropathy due to other toxic agents,
icd-10-mc,G62.81,G6281,Critical illness polyneuropathy,
icd-10-mc,G62.82,G6282,Radiation-induced polyneuropathy,
icd-10-mc,G62.89,G6289,Other specified polyneuropathies,
icd-10-mc,G62.9,G629,"Polyneuropathy, unspecified",
icd-10-mc,G63,G63,Polyneuropathy in diseases classified elsewhere,
icd-10-mc,G64,G64,Other disorders of peripheral nervous system,
icd-10-mc,G65.0,G650,Sequelae of Guillain-Barre syndrome,
icd-10-mc,G65.1,G651,Sequelae of other inflammatory polyneuropathy,
icd-10-mc,G65.2,G652,Sequelae of toxic polyneuropathy,
icd-10-mc,G70.00,G7000,Myasthenia gravis without (acute) exacerbation,
icd-10-mc,G70.01,G7001,Myasthenia gravis with (acute) exacerbation,
icd-10-mc,G70.1,G701,Toxic myoneural disorders,
icd-10-mc,G70.2,G702,Congenital and developmental myasthenia,
icd-10-mc,G70.80,G7080,"Lambert-Eaton syndrome, unspecified",
icd-10-mc,G70.81,G7081,Lambert-Eaton syndrome in disease classified elsewhere,
icd-10-mc,G70.89,G7089,Other specified myoneural disorders,
icd-10-mc,G70.9,G709,"Myoneural disorder, unspecified",
icd-10-mc,G71.00,G7100,"Muscular dystrophy, unspecified",
icd-10-mc,G71.01,G7101,Duchenne or Becker muscular dystrophy,
icd-10-mc,G71.02,G7102,Facioscapulohumeral muscular dystrophy,
icd-10-mc,G71.031,G71031,Autosomal dominant limb girdle muscular dystrophy,
icd-10-mc,G71.032,G71032,Autosomal recessive limb girdle muscular dystrophy due to calpain-3 dysfunction,
icd-10-mc,G71.033,G71033,Limb girdle muscular dystrophy due to dysferlin dysfunction,
icd-10-mc,G71.0340,G710340,"Limb girdle muscular dystrophy due to sarcoglycan dysfunction, unspecified",
icd-10-mc,G71.0341,G710341,Limb girdle muscular dystrophy due to alpha sarcoglycan dysfunction,
icd-10-mc,G71.0342,G710342,Limb girdle muscular dystrophy due to beta sarcoglycan dysfunction,
icd-10-mc,G71.0349,G710349,Limb girdle muscular dystrophy due to other sarcoglycan dysfunction,
icd-10-mc,G71.035,G71035,Limb girdle muscular dystrophy due to anoctamin-5 dysfunction,
icd-10-mc,G71.038,G71038,Other limb girdle muscular dystrophy,
icd-10-mc,G71.039,G71039,"Limb girdle muscular dystrophy, unspecified",
icd-10-mc,G71.09,G7109,Other specified muscular dystrophies,
icd-10-mc,G71.11,G7111,Myotonic muscular dystrophy,
icd-10-mc,G71.12,G7112,Myotonia congenita,
