classification_system,code,code_clean,description,source
icd-09-mc,052.2,0522,Postvaricella myelitis,
icd-09-mc,053.14,05314,Herpes zoster myelitis,
icd-09-mc,054.74,05474,Herpes simplex myelitis,
icd-09-mc,323.02,32302,Myelitis in viral diseases classified elsewhere,
icd-09-mc,323.42,32342,Other myelitis due to other infections classified elsewhere,
icd-09-mc,323.52,32352,Myelitis following immunization procedures,
icd-09-mc,323.63,32363,Postinfectious myelitis,
icd-09-mc,323.71,32371,Toxic encephalitis and encephalomyelitis,
icd-09-mc,323.72,32372,Toxic myelitis,
icd-09-mc,323.82,32382,Other causes of myelitis,
icd-09-mc,334.0,3340,Friedreich's ataxia,
icd-09-mc,334.1,3341,Hereditary spastic paraplegia,
icd-09-mc,334.2,3342,Primary cerebellar degeneration,
icd-09-mc,334.3,3343,Other cerebellar ataxia,
icd-09-mc,334.4,3344,Cerebellar ataxia in diseases classified elsewhere,
icd-09-mc,334.8,3348,Other spinocerebellar diseases,
icd-09-mc,334.9,3349,"Spinocerebellar disease, unspecified",
icd-09-mc,335.0,3350,Werdnig-Hoffmann disease,
icd-09-mc,335.10,33510,"Spinal muscular atrophy, unspecified",
icd-09-mc,335.11,33511,Kugelberg-Welander disease,
icd-09-mc,335.19,33519,Other spinal muscular atrophy,
icd-09-mc,335.20,33520,Amyotrophic lateral sclerosis,
icd-09-mc,335.21,33521,Progressive muscular atrophy,
icd-09-mc,335.22,33522,Progressive bulbar palsy,
icd-09-mc,335.23,33523,Pseudobulbar palsy,
icd-09-mc,335.24,33524,Primary lateral sclerosis,
icd-09-mc,335.29,33529,Other motor neuron disease,
icd-09-mc,335.8,3358,Other anterior horn cell diseases,
icd-09-mc,335.9,3359,"Anterior horn cell disease, unspecified",
icd-09-mc,336.0,3360,Syringomyelia and syringobulbia,
icd-09-mc,336.1,3361,Vascular myelopathies,
icd-09-mc,336.2,3362,Subacute combined degeneration of spinal cord in diseases classified elsewhere,
icd-09-mc,336.3,3363,Myelopathy in other diseases classified elsewhere,
icd-09-mc,336.8,3368,Other myelopathy,
icd-09-mc,336.9,3369,Unspecified disease of spinal cord,
icd-09-mc,341.20,34120,Acute (transverse) myelitis NOS,
icd-09-mc,341.21,34121,Acute (transverse) myelitis in conditions classified elsewhere,
icd-09-mc,341.22,34122,Idiopathic transverse myelitis,
icd-09-mc,343.0,3430,Congenital diplegia,
icd-09-mc,343.1,3431,Congenital hemiplegia,
icd-09-mc,343.2,3432,Congenital quadriplegia,
icd-09-mc,343.3,3433,Congenital monoplegia,
icd-09-mc,343.4,3434,Infantile hemiplegia,
icd-09-mc,343.8,3438,Other specified infantile cerebral palsy,
icd-09-mc,343.9,3439,"Infantile cerebral palsy, unspecified",
icd-09-mc,344.00,34400,"Quadriplegia, unspecified",
icd-09-mc,344.01,34401,"Quadriplegia, C1-C4, complete",
icd-09-mc,344.02,34402,"Quadriplegia, C1-C4, incomplete",
icd-09-mc,344.03,34403,"Quadriplegia, C5-C7, complete",
icd-09-mc,344.04,34404,"Quadriplegia, C5-C7, incomplete",
icd-09-mc,344.09,34409,Other quadriplegia,
icd-09-mc,344.1,3441,Paraplegia,
icd-09-mc,344.60,34460,Cauda equina syndrome without mention of neurogenic bladder,
icd-09-mc,344.61,34461,Cauda equina syndrome with neurogenic bladder,
icd-09-mc,344.81,34481,Locked-in state,
icd-09-mc,740.0,7400,Anencephalus,
icd-09-mc,740.1,7401,Craniorachischisis,
icd-09-mc,740.2,7402,Iniencephaly,
icd-09-mc,741.00,74100,"Spina bifida with hydrocephalus, unspecified region",
icd-09-mc,741.01,74101,"Spina bifida with hydrocephalus, cervical region",
icd-09-mc,741.02,74102,"Spina bifida with hydrocephalus, dorsal (thoracic) region",
icd-09-mc,741.03,74103,"Spina bifida with hydrocephalus, lumbar region",
icd-09-mc,741.90,74190,"Spina bifida without mention of hydrocephalus, unspecified region",
icd-09-mc,741.91,74191,"Spina bifida without mention of hydrocephalus, cervical region",
icd-09-mc,741.92,74192,"Spina bifida without mention of hydrocephalus, dorsal (thoracic) region",
icd-09-mc,741.93,74193,"Spina bifida without mention of hydrocephalus, lumbar region",
icd-09-mc,742.0,7420,Encephalocele,
icd-09-mc,742.1,7421,Microcephalus,
icd-09-mc,742.2,7422,Congenital reduction deformities of brain,
icd-09-mc,742.3,7423,Congenital hydrocephalus,
icd-09-mc,742.4,7424,Other specified congenital anomalies of brain,
icd-09-mc,742.51,74251,Diastematomyelia,
icd-09-mc,742.53,74253,Hydromyelia,
icd-09-mc,742.59,74259,Other specified congenital anomalies of spinal cord,
icd-09-mc,742.8,7428,Other specified congenital anomalies of nervous system,
icd-09-mc,742.9,7429,"Unspecified congenital anomaly of brain, spinal cord, and nervous system",
