classification_system,code,code_clean,description,source
icd-09-mc,305.1,3051,Tobacco use disorder,
icd-09-mc,415.0,4150,Acute cor pulmonale,
icd-09-mc,416.8,4168,Other chronic pulmonary heart diseases,
icd-09-mc,416.9,4169,"Chronic pulmonary heart disease, unspecified",
icd-09-mc,491.0,4910,Simple chronic bronchitis,
icd-09-mc,492.0,4920,Obstructive chronic bronchitis without exacerbation,
icd-09-mc,494.0,4940,Bronchiectasis without acute exacerbation,
icd-09-mc,496.0,4960,"Chronic airway obstruction, not elsewhere classified",
icd-09-mc,989.84,98984,Toxic effect of tobacco,
icd-09-mc,V15.82,V1582,Personal history of tobacco use,
icd-10-mc,F17.200,F17200,"Nicotine dependence, unspecified, uncomplicated",
icd-10-mc,I26.09,I2609,Other pulmonary embolism with acute cor pulmonale,
icd-10-mc,I27.20,I2720,"Pulmonary hypertension, unspecified",
icd-10-mc,I27.21,I2721,Secondary pulmonary arterial hypertension,
icd-10-mc,I27.22,I2722,Pulmonary hypertension due to left heart disease,
icd-10-mc,I27.23,I2723,Pulmonary hypertension due to lung diseases and hypoxia,
icd-10-mc,I27.24,I2724,Chronic thromboembolic pulmonary hypertension,
icd-10-mc,I27.29,I2729,Other secondary pulmonary hypertension,
icd-10-mc,I27.81,I2781,Other specified pulmonary heart disease. Cor pulmonale (chronic),
icd-10-mc,I27.89,I2789,Other specified pulmonary heart diseases.,
icd-10-mc,I27.9,I279,"Pulmonary heart disease, unspecified",
icd-10-mc,J41.0,J410,Simple and mucopurulent chronic bronchitis. Simple chronic bronchitis,
icd-10-mc,J43.9,J439,"Emphysema, unspecified",
icd-10-mc,J44.9,J449,"Chronic obstructive pulmonary disease, unspecified",
icd-10-mc,J47.9,J479,"Bronchiectasis, uncomplicated",
icd-10-mc,T65.211A,T65211A,"Toxic effect of chewing tobacco, accidental (unintentional), initial encounter",
icd-10-mc,T65.212A,T65212A,"Toxic effect of chewing tobacco, intentional self-harm, initial encounter",
icd-10-mc,T65.213A,T65213A,"Toxic effect of chewing tobacco, assault, initial encounter",
icd-10-mc,T65.214A,T65214A,"Toxic effect of chewing tobacco, undetermined, initial encounter",
icd-10-mc,T65.221A,T65221A,"Toxic effect of tobacco cigarettes, accidental (unintentional), initial encounter",
icd-10-mc,T65.222A,T65222A,"Toxic effect of tobacco cigarettes, intentional self-harm, initial encounter",
icd-10-mc,T65.223A,T65223A,"Toxic effect of tobacco cigarettes, assault, initial encounter",
icd-10-mc,T65.224A,T65224A,"Toxic effect of tobacco cigarettes, undetermined, initial encounter",
icd-10-mc,T65.291A,T65291A,"Toxic effect of other tobacco and nicotine, accidental (unintentional), initial encounter",
icd-10-mc,T65.292A,T65292A,"Toxic effect of other tobacco and nicotine, intentional self-harm, initial encounter",
icd-10-mc,T65.293A,T65293A,"Toxic effect of other tobacco and nicotine, assault, initial encounter",
icd-10-mc,T65.294A,T65294A,"Toxic effect of other tobacco and nicotine, undetermined, initial encounter",
icd-10-mc,Z87.891,Z87891,Personal history of nicotine dependence,
