classification_system,code,code_clean,description,source
icd-09-mc,800.00,80000,"Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",
icd-09-mc,800.01,80001,"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",
icd-09-mc,800.02,80002,"Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness",
icd-09-mc,800.03,80003,"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",
icd-09-mc,800.04,80004,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",
icd-09-mc,800.05,80005,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",
icd-09-mc,800.06,80006,"Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration",
icd-09-mc,800.09,80009,"Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified",
icd-09-mc,800.10,80010,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",
icd-09-mc,800.11,80011,"Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness",
icd-09-mc,800.12,80012,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",
icd-09-mc,800.13,80013,"Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",
icd-09-mc,800.14,80014,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",
icd-09-mc,800.15,80015,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",
icd-09-mc,800.16,80016,"Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",
icd-09-mc,800.19,80019,"Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified",
icd-09-mc,800.20,80020,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",
icd-09-mc,800.21,80021,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",
icd-09-mc,800.22,80022,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",
icd-09-mc,800.23,80023,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",
icd-09-mc,800.24,80024,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",
icd-09-mc,800.25,80025,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",
icd-09-mc,800.26,80026,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",
icd-09-mc,800.29,80029,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",
icd-09-mc,800.30,80030,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",
