"country_cd"|"hospital_st"|"mean_predict_model"|"sd_predict_model"|"mean_residuals_model"|"sd_residuals_model"|"median_predict_model"|"P25_predict_model"|"P75_predict_model"|"P05_predict_model"|"P95_predict_model"|"median_residuals_model"|"P25_residuals_model"|"P75_residuals_model"|"P05_residuals_model"|"P95_residuals_model"
"ESP"|"eRKOGF"|0.0701256373132442|0.0282101927344181|0.000643593455986576|0.256095685223894|0.0666817267049636|0.04955|0.08563|0.03095|0.11919|-0.0640312102533828|-0.08417|-0.04396|-0.11624|0.91034
"ESP"|"fdSrDs"|0.0774381860570509|0.0301112663594482|0.00911513697231545|0.280098206288342|0.0735459363317015|0.05689|0.09367|0.03614|0.13346|-0.0688457314571331|-0.09144|-0.0496|-0.1291|0.90861
"ESP"|"FVYySn"|0.0797443170849459|0.0302145982883396|0.0145953055565635|0.294611268036547|0.0774836975924904|0.05878|0.09809|0.03453|0.13186|-0.073570071197409|-0.09455|-0.05147|-0.13063|0.92205
"ESP"|"GnVZQU"|0.0648956836222093|0.0250475167346067|-0.00711790584443148|0.231151501185851|0.0615639885684046|0.04663|0.07981|0.0302|0.11425|-0.0591968423122272|-0.07642|-0.04323|-0.10587|0.87597
"ESP"|"mqTjDm"|0.0706449384568801|0.0284366689044907|0.00141388507253169|0.256678167918634|0.0672513523228496|0.0505|0.08613|0.03137|0.12232|-0.063089225688124|-0.08408|-0.0457|-0.12127|0.90373
"ESP"|"NvnAvO"|0.066293385986735|0.0269927393862521|-0.00582140958555502|0.236196521648948|0.0622781391760352|0.04744|0.08234|0.02928|0.11657|-0.0599474594610768|-0.07928|-0.04402|-0.11316|0.88422
"ESP"|"ppgrVk"|0.0709600897564158|0.0271122944000115|0.00118998239365642|0.257347240524888|0.0670914492505781|0.05257|0.08869|0.03169|0.1183|-0.0641231003263858|-0.08455|-0.0465|-0.11625|0.90838
"ESP"|"PxeqAW"|0.0682195458225484|0.0273639607720057|-0.00252611516561408|0.244770598577517|0.0652878420871978|0.04879|0.08398|0.03046|0.11707|-0.0618788707911301|-0.08064|-0.04373|-0.1143|0.89477
"ESP"|"xFuDpj"|0.0645311303537898|0.0259838724090013|-0.00755107337373285|0.230875978295582|0.0619349454513997|0.04648|0.07984|0.02809|0.11029|-0.0592391232219396|-0.0773|-0.0425|-0.10927|0.8911
"ESP"|"YsUlhh"|0.0669252949900781|0.0265603618209543|-0.00350346608152358|0.240908398346131|0.0645978253729464|0.04769|0.08162|0.02945|0.11623|-0.0616100249584115|-0.07858|-0.04416|-0.11283|0.88844
