"country_cd"|"hospital_st"|"mean_predict_model"|"sd_predict_model"|"mean_residuals_model"|"sd_residuals_model"|"median_predict_model"|"P25_predict_model"|"P75_predict_model"|"P05_predict_model"|"P95_predict_model"|"median_residuals_model"|"P25_residuals_model"|"P75_residuals_model"|"P05_residuals_model"|"P95_residuals_model"
"ESP"|"eRKOGF"|0.0507884369427712|0.0271257354977637|0.0107500245956903|0.237902411072324|0.0452267097090762|0.03225|0.0645|0.01828|0.10129|-0.0419297531571795|-0.06171|-0.02827|-0.09787|0.91487
"ESP"|"fdSrDs"|0.0517954106676675|0.0300976520615537|-0.00542755904479272|0.21046679947356|0.045403216923436|0.0309|0.0658|0.01655|0.10498|-0.0428711531724034|-0.06454|-0.02872|-0.10282|-0.00874
"ESP"|"FVYySn"|0.0513619172521173|0.0285680140621529|0.00669323514265769|0.230739310151219|0.0450866923021415|0.0311|0.06392|0.01737|0.10865|-0.042941502197362|-0.06132|-0.02785|-0.10384|0.88633
"ESP"|"GnVZQU"|0.0506803333546145|0.0259666007663628|-0.0032729259472071|0.211093860437603|0.0456535444883615|0.03172|0.06375|0.01889|0.10093|-0.0442816240542279|-0.06089|-0.02891|-0.09753|-0.01154
"ESP"|"mqTjDm"|0.0514526966245586|0.0261033413560558|-0.00292328485985272|0.213857749340277|0.0461015975758798|0.03223|0.06411|0.01909|0.10146|-0.0438063054887697|-0.06234|-0.02994|-0.09988|-0.0085
"ESP"|"NvnAvO"|0.0505391097533491|0.0262392875160564|-0.00629132214272959|0.205899420185348|0.0450152967362006|0.03231|0.06378|0.01746|0.10003|-0.0430810722989963|-0.06238|-0.03024|-0.09983|-0.01032
"ESP"|"ppgrVk"|0.050861794186086|0.0270590460606015|-0.00179974512403699|0.21337902611109|0.0447093152129518|0.03149|0.0635|0.01943|0.10256|-0.0426995797099701|-0.06128|-0.02897|-0.09904|-0.00953
"ESP"|"PxeqAW"|0.0494226332663272|0.0276803799301064|0.010431381332213|0.235702983793969|0.0431082275066162|0.02946|0.06224|0.01645|0.10075|-0.040000134183395|-0.06023|-0.0273|-0.09846|0.90803
"ESP"|"xFuDpj"|0.0528116791948628|0.0271649036677447|0.00416837778519415|0.230473781868067|0.0483004786485447|0.03297|0.06792|0.01865|0.10411|-0.0449879462225225|-0.06485|-0.02924|-0.10114|0.90579
"ESP"|"YsUlhh"|0.050810358721958|0.0258792755541985|-0.0124622761260878|0.190755710061673|0.0471088940863732|0.03146|0.06349|0.01923|0.10032|-0.0447173295627934|-0.06198|-0.03017|-0.09724|-0.01302
