variable,value,count,percentage,count_S720,percentage_S720,count_S721,percentage_S721,count_S722,percentage_S722
Opioids_Patterns,Continuing,2934,34.88%,1485.0,34.34%,1122.0,34.90%,259.0,37.76%
Opioids_Patterns,Deprescribing,3108,36.95%,1608.0,37.18%,1186.0,36.89%,242.0,35.28%
Opioids_Patterns,Initiating,972,11.55%,514.0,11.88%,368.0,11.45%,72.0,10.50%
Opioids_Patterns,No_Treat,1398,16.62%,718.0,16.60%,539.0,16.77%,113.0,16.47%
centrAntiHT_Patterns,Continuing,85,1.01%,43.0,0.99%,36.0,1.12%,4.0,0.58%
centrAntiHT_Patterns,Deprescribing,1025,12.18%,552.0,12.76%,353.0,10.98%,102.0,14.87%
centrAntiHT_Patterns,Initiating,457,5.43%,236.0,5.46%,179.0,5.57%,34.0,4.96%
centrAntiHT_Patterns,No_Treat,6845,81.37%,3494.0,80.79%,2647.0,82.33%,546.0,79.59%
oralSter_Patterns,Continuing,200,2.38%,102.0,2.36%,78.0,2.43%,14.0,2.04%
oralSter_Patterns,Deprescribing,1505,17.89%,792.0,18.31%,549.0,17.08%,135.0,19.68%
oralSter_Patterns,Initiating,642,7.63%,332.0,7.68%,248.0,7.71%,48.0,7.00%
oralSter_Patterns,No_Treat,6065,72.10%,3099.0,71.65%,2340.0,72.78%,489.0,71.28%
barbs_Patterns,Continuing,61,0.73%,28.0,0.65%,20.0,0.62%,12.0,1.75%
barbs_Patterns,Deprescribing,838,9.96%,458.0,10.59%,294.0,9.14%,73.0,10.64%
barbs_Patterns,Initiating,417,4.96%,210.0,4.86%,158.0,4.91%,38.0,5.54%
barbs_Patterns,No_Treat,7096,84.36%,3629.0,83.91%,2743.0,85.32%,563.0,82.07%
sedHyp_Patterns,Continuing,671,7.98%,341.0,7.88%,262.0,8.15%,53.0,7.73%
sedHyp_Patterns,Deprescribing,2484,29.53%,1277.0,29.53%,971.0,30.20%,187.0,27.26%
sedHyp_Patterns,Initiating,1034,12.29%,536.0,12.39%,379.0,11.79%,99.0,14.43%
