"","Estimate","StdError","PValue","ZValue","ci_95_upper","ci_95_lower","ci_99_upper","ci_99_lower","OddsRatio","OR_ci_95_upper","OR_ci_95_lower","OR_ci_99_upper","OR_ci_99_lower","AIC","BIC","LogLikelihood"
"(Intercept)",2.2005860461778,0.853871739766568,0.00996084187172201,2.57718571032623,0.531396132323253,3.88123357048756,0.00797080733106699,4.41301208755868,9.03030412422382,1.70130589946754,48.4839866125656,1.00800265878685,82.5176399085768,8149.37832956227,8583.28995884247,-4009.68916478113
"Length_of_stay",0.000158905227930101,0.00414395769048634,0.969411617573537,0.0383462476692063,-0.0079646507143068,0.00828299208292832,-0.0105188728168065,0.0108376053739208,1.00015891785403,0.99206698307645,1.0083173909715,0.989536257055167,1.01089654494789,8149.37832956227,8583.28995884247,-4009.68916478113
"Opioids_PatternsDeprescribing",-0.194799428431238,0.0631655865510942,0.00204272816768101,-3.08394869845254,-0.318669915922254,-0.0710442796433641,-0.357626709670891,-0.0321713291801118,0.822999711846212,0.727115518954568,0.931420648240341,0.69933408093723,0.968340662854365,8149.37832956227,8583.28995884247,-4009.68916478113
"Opioids_PatternsInitiating",-0.0314184789009055,0.0910281309682997,0.729980618926083,-0.345151312750197,-0.209782844908255,0.147141537775014,-0.265836524295008,0.203337738322606,0.969069952881416,0.810760287579962,1.15851792547563,0.766564431919556,1.22548629204614,8149.37832956227,8583.28995884247,-4009.68916478113
"Opioids_PatternsNo_Treat",-0.228562362257259,0.0805085047001511,0.00452574163772307,-2.83898406893192,-0.38650886774692,-0.0708691736941472,-0.436216489587096,-0.0213458234597453,0.795676675463708,0.679424700381628,0.931583759817558,0.646477755082606,0.978880386226825,8149.37832956227,8583.28995884247,-4009.68916478113
"centrAntiHT_PatternsDeprescribing",-0.163860892021573,0.270864831696537,0.545209246035246,-0.604954474876806,-0.700481893390977,0.365748449301294,-0.872723606988522,0.532815308388898,0.848860096879473,0.496346060265023,1.44159256342374,0.417812042369113,1.70372206615785,8149.37832956227,8583.28995884247,-4009.68916478113
"centrAntiHT_PatternsInitiating",-0.0500689250070228,0.283350633161967,0.859741634190399,-0.176703063791647,-0.610537059413707,0.504114245322462,-0.789878248885109,0.678802955575081,0.95116386326538,0.543059135721401,1.65551848759701,0.453900054756052,1.97151632653135,8149.37832956227,8583.28995884247,-4009.68916478113
"centrAntiHT_PatternsNo_Treat",-0.133180238339516,0.261784574690234,0.610934604467105,-0.508739823563349,-0.652453626224434,0.378649492461068,-0.819548370510111,0.540263196833023,0.875307313953529,0.520766441699658,1.46031109598097,0.440630611353463,1.71645856919775,8149.37832956227,8583.28995884247,-4009.68916478113
"oralSter_PatternsDeprescribing",-0.0852190092129742,0.17789266930962,0.631904954371519,-0.479047335360691,-0.435116328664474,0.263316480554681,-0.545875396138032,0.373079307710928,0.918311143775573,0.647189376023091,1.30123847046552,0.579334414188939,1.45219950588456,8149.37832956227,8583.28995884247,-4009.68916478113
"oralSter_PatternsInitiating",0.0812274062862085,0.192730260158348,0.673421824606255,0.42145642422457,-0.297444164091468,0.458950402697432,-0.417064415700533,0.577873526107712,1.08461751736572,0.742714052176926,1.58241221745868,0.658978470017132,1.7822445019314,8149.37832956227,8583.28995884247,-4009.68916478113
"oralSter_PatternsNo_Treat",-0.046386072017842,0.169806009345752,0.784721795388529,-0.273170968427817,-0.380563433053676,0.286332100220328,-0.486479749221317,0.391181551705081,0.954673318379357,0.683476207618118,1.33153458476155,0.614786793067509,1.47872695444438,8149.37832956227,8583.28995884247,-4009.68916478113
"barbs_PatternsDeprescribing",-0.343198116307324,0.310148275709457,0.268483595281634,-1.10656141976694,-0.962287179534166,0.260574649333142,-1.16347567857022,0.450446389840049,0.709497634583954,0.382018141932198,1.29767558085356,0.312398494999878,1.56901242039304,8149.37832956227,8583.28995884247,-4009.68916478113
"barbs_PatternsInitiating",-0.258254936518843,0.320460306380915,0.420307752896679,-0.805887441834584,-0.896727807050733,0.365945631079478,-1.10351509042078,0.562156963088597,0.772398294472344,0.407902213111463,1.44187684723569,0.331703065787357,1.75445271168206,8149.37832956227,8583.28995884247,-4009.68916478113
"barbs_PatternsNo_Treat",-0.306451149554792,0.299951803582089,0.306938076810149,-1.02166796763709,-0.906415826641539,0.277178790888565,-1.10211721237758,0.460849728698689,0.736054473889874,0.403969529198451,1.31940224704821,0.332167070455293,1.58542059016388,8149.37832956227,8583.28995884247,-4009.68916478113
"sedHyp_PatternsDeprescribing",0.0877440090425697,0.104603309023973,0.401566777244773,0.838826322621023,-0.117289729606137,0.292912957121186,-0.181767033913228,0.357488499488641,1.09170861872002,0.889327491329499,1.34032611951008,0.833795563880801,1.42973412367998,8149.37832956227,8583.28995884247,-4009.68916478113
"sedHyp_PatternsInitiating",0.0709782601076354,0.119878011438431,0.553792063871542,0.592087399982355,-0.16398755516162,0.306067965442679,-0.237861553226178,0.380031996480273,1.07355788658176,0.848752584403219,1.35807460555304,0.78831182276776,1.46233137814278,8149.37832956227,8583.28995884247,-4009.68916478113
"sedHyp_PatternsNo_Treat",0.0375177683164807,0.100479452313328,0.708860085048113,0.373387468310315,-0.159447029640266,0.234609478215479,-0.221399680317546,0.296654342750243,1.03823044452505,0.852615129530411,1.2644148907446,0.801396313939162,1.34535018902204,8149.37832956227,8583.28995884247,-4009.68916478113
"benzos_PatternsDeprescribing",-0.0801446510361138,0.132528273824029,0.545354259409414,-0.604736247772529,-0.340588411874343,0.17930888775698,-0.422820719650581,0.260818573443883,0.922982826307819,0.711351631846325,1.19639023739588,0.655196086366263,1.29799215382397,8149.37832956227,8583.28995884247,-4009.68916478113
"benzos_PatternsInitiating",0.0264298256076822,0.145175913427382,0.855540510954427,0.182053792421307,-0.258594525726566,0.310812346024999,-0.348446140896051,0.400194488950054,1.02678219091717,0.772136040879243,1.36453313709212,0.70578392689016,1.49211486927705,8149.37832956227,8583.28995884247,-4009.68916478113
"benzos_PatternsNo_Treat",-0.152043266585561,0.126144973810009,0.228085277465181,-1.20530578423646,-0.400055568601688,0.0948794054087062,-0.478430565745801,0.172459559619402,0.85895111605518,0.670282798322909,1.09952625021178,0.619755294126074,1.18822376742196,8149.37832956227,8583.28995884247,-4009.68916478113
"gabaN02BF_PatternsDeprescribing",0.0647891094762571,0.143019789042112,0.65054297646695,0.453008006166055,-0.215668905761104,0.345493653086028,-0.30400013749472,0.434004142530852,1.0669339943878,0.806002120358599,1.41268712492355,0.737860764998625,1.54342526179001,8149.37832956227,8583.28995884247,-4009.68916478113
"gabaN02BF_PatternsInitiating",0.218976429203353,0.156606473170286,0.162035269406761,1.39825911899088,-0.0879741936528312,0.526347161431884,-0.184546748102569,0.623224419331366,1.24480193536845,0.91578450947137,1.69273770399036,0.831481068828547,1.8649316792808,8149.37832956227,8583.28995884247,-4009.68916478113
"gabaN02BF_PatternsNo_Treat",0.0535368954630993,0.136422917751545,0.694738087321369,0.392433297465469,-0.214010567731225,0.321371230215835,-0.298314205556488,0.405883119801578,1.0549959156124,0.807339853227025,1.37901741881705,0.742068141180299,1.50062714860871,8149.37832956227,8583.28995884247,-4009.68916478113
"firstGenAH_PatternsDeprescribing",-0.169475654468557,0.0816459492582301,0.0379181269777135,-2.0757386742181,-0.329645685508786,-0.00953781110359839,-0.380052172538267,0.0406997317212998,0.844107304471133,0.719178503660485,0.990507529552022,0.683825731357525,1.04153931736962,8149.37832956227,8583.28995884247,-4009.68916478113
"firstGenAH_PatternsInitiating",0.0954559529266476,0.0995087094598514,0.33742156410164,0.959272343544572,-0.0995220806710466,0.290621799499732,-0.160786499166988,0.352022865930681,1.10016036212251,0.905269960679611,1.33725873637708,0.851473842076905,1.42194103735204,8149.37832956227,8583.28995884247,-4009.68916478113
"firstGenAH_PatternsNo_Treat",-0.104837241657234,0.082607428328398,0.204404733908651,-1.26910186866565,-0.266868761110204,0.057008762757613,-0.317850895251877,0.107855846952334,0.900471069839084,0.765773564143349,1.05866508718041,0.727711285533612,1.11388716358318,8149.37832956227,8583.28995884247,-4009.68916478113
"anticonv_PatternsDeprescribing",-0.176936876818389,0.155840917067948,0.256220929147529,-1.13536855498125,-0.483722315234528,0.127882299688218,-0.580874457154014,0.223598066826951,0.837832669517599,0.616484366463014,1.13641923792652,0.559408973441083,1.25056827352571,8149.37832956227,8583.28995884247,-4009.68916478113
"anticonv_PatternsInitiating",-0.0698006141296638,0.169820542548207,0.681053660797084,-0.411025739773795,-0.403693724727196,0.26257814318785,-0.509207600143953,0.366983954836645,0.932579744593988,0.66784863547153,1.30027807207226,0.600971599997125,1.44337475974558,8149.37832956227,8583.28995884247,-4009.68916478113
"anticonv_PatternsNo_Treat",-0.172016093778302,0.148518136654745,0.246775868604498,-1.15821607820318,-0.464589001128621,0.118417740694774,-0.557361551004683,0.209628563707899,0.841965622651392,0.62839332106853,1.12571426981954,0.572718159790325,1.23321991224412,8149.37832956227,8583.28995884247,-4009.68916478113
"thiazDiur_PatternsDeprescribing",-0.216985053355529,0.0939688223028366,0.0209370611374754,-2.30911751406487,-0.401595974798854,-0.0331337031876819,-0.459815238180895,0.0245325411126585,0.804942000396988,0.669251085379033,0.967409205247146,0.631400293397347,1.02483593986637,8149.37832956227,8583.28995884247,-4009.68916478113
"thiazDiur_PatternsInitiating",-0.132162360619606,0.109875103021702,0.229037567178471,-1.2028417447172,-0.347765395109771,0.0830426388349541,-0.41564549438688,0.150632980878703,0.8761987233624,0.706264549896897,1.0865881384128,0.659914172300444,1.16256989439031,8149.37832956227,8583.28995884247,-4009.68916478113
"thiazDiur_PatternsNo_Treat",-0.334567361163246,0.0919627819968249,0.000274685031745563,-3.6380735108122,-0.515284257093842,-0.154678409973136,-0.57229739643216,-0.0982679285889165,0.715647636346972,0.597330774973005,0.856690636353586,0.564227693862347,0.906406019131815,8149.37832956227,8583.28995884247,-4009.68916478113
"sgap_PatternsDeprescribing",0.0914412995757209,0.152222831518189,0.548035247237434,0.600706862851877,-0.206983610084054,0.390368166979087,-0.300961961530467,0.484712057322255,1.09575245367073,0.813032975420498,1.47752466955208,0.740105924707944,1.62370740686757,8149.37832956227,8583.28995884247,-4009.68916478113
"sgap_PatternsInitiating",0.0833416462419345,0.164623304599511,0.612676475701588,0.506256671524634,-0.239366551295186,0.406481759208673,-0.340935940229964,0.508365926464368,1.08691308489281,0.787126307319716,1.50152575209812,0.711104459935552,1.66257220879178,8149.37832956227,8583.28995884247,-4009.68916478113
"sgap_PatternsNo_Treat",0.116408020850925,0.145304107687306,0.423054234776422,0.801133723634533,-0.168465770233273,0.401858770488779,-0.258215403070509,0.492027902788827,1.12345417135605,0.844960185713983,1.49460023610904,0.772428830644008,1.63562975720024,8149.37832956227,8583.28995884247,-4009.68916478113
"tca_PatternsDeprescribing",-0.209252435740819,0.163316863305581,0.200100054043184,-1.28126656063243,-0.530857719670659,0.110151532886672,-0.632763688901462,0.210448335780205,0.811190436336425,0.58810032806907,1.11644723611397,0.531121915046782,1.23423128597852,8149.37832956227,8583.28995884247,-4009.68916478113
"tca_PatternsInitiating",-0.0546148006427438,0.176871982551815,0.757487723158681,-0.308781525795044,-0.402472802817609,0.291531047948209,-0.51246008885705,0.400264494010784,0.94684980365219,0.668664524469891,1.33847518975371,0.599020121951739,1.49221932852539,8149.37832956227,8583.28995884247,-4009.68916478113
"tca_PatternsNo_Treat",-0.128823276244046,0.154848193204826,0.405446930213332,-0.831932705043865,-0.433996462202871,0.173951618782506,-0.530843979910722,0.269046902270672,0.879129314852712,0.647914547671522,1.18999799087599,0.588108408481908,1.30871652138354,8149.37832956227,8583.28995884247,-4009.68916478113
